Quarter,REPORTING  DISTRICT,DIVISION,BURG  BUS,BURG  RES,BURG  OTH,ROBB  ST,ROBB  OTH,MURDER,RAPE,AGGR  ASSAULT,BURG  FROM  AUTO,THEFT  FROM  AUTO,GRAND  THEFT,THEFT  FROM  PERS,PURSE  SNATCH,OTHER  THEFT,BIKE  THEFT,AUTO  THEFT,BUNCO,TOTAL,,
1991Q1,0100,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,,
1991Q1,0102,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,3,,
1991Q1,0105,1,1,4,0,2,2,0,1,3,6,0,0,0,0,1,0,11,0,31,,
1991Q1,0106,1,11,6,1,20,5,0,1,13,91,6,2,9,4,13,0,83,0,265,,
1991Q1,0107,1,5,4,4,7,2,0,0,19,40,8,2,1,1,6,0,29,0,128,,
1991Q1,0110,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,,
1991Q1,0111,1,1,0,0,1,1,0,0,0,5,1,0,0,0,0,0,10,0,19,,
1991Q1,0112,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,0,7,,
1991Q1,0114,1,2,0,0,6,2,0,0,3,84,3,2,3,1,5,0,9,0,120,,
1991Q1,0118,1,4,0,2,1,1,0,0,1,25,0,0,0,0,4,1,3,0,42,,
1991Q1,0122,1,1,2,2,0,0,0,0,2,9,0,1,0,0,1,0,0,0,18,,
1991Q1,0124,1,1,3,0,0,0,0,0,2,64,4,6,0,0,0,0,4,0,84,,
1991Q1,0125,1,1,0,0,5,2,0,0,6,17,1,3,0,1,6,0,4,0,46,,
1991Q1,0127,1,4,0,4,1,0,0,0,1,16,2,2,3,2,27,0,2,0,64,,
1991Q1,0128,1,3,3,16,3,1,0,0,8,49,2,8,1,0,10,0,3,0,107,,
1991Q1,0129,1,2,1,0,2,0,0,0,0,11,0,2,0,1,2,0,3,0,24,,
1991Q1,0131,1,2,0,0,2,0,0,0,0,3,1,5,0,0,4,0,3,0,20,,
1991Q1,0132,1,7,0,5,7,1,0,0,6,49,6,25,3,0,30,0,4,0,143,,
1991Q1,0133,1,6,0,1,12,3,0,0,9,11,0,4,5,0,7,0,1,1,60,,
1991Q1,0136,1,3,0,1,18,0,0,1,24,20,3,2,4,1,7,1,1,0,86,,
1991Q1,0138,1,8,0,8,7,1,0,0,11,129,4,2,0,0,2,0,5,0,177,,
1991Q1,0139,1,3,0,4,4,0,0,0,2,57,3,1,0,0,2,0,8,0,84,,
1991Q1,0141,1,0,0,0,1,0,0,0,0,9,1,5,4,0,5,0,0,0,25,,
1991Q1,0143,1,5,2,1,13,0,0,0,10,4,0,1,4,1,31,0,2,3,77,,
1991Q1,0144,1,3,8,0,14,3,0,0,14,9,2,2,0,0,3,0,0,0,58,,
1991Q1,0145,1,5,0,1,16,4,0,0,10,12,1,1,2,0,3,0,0,0,55,,
1991Q1,0146,1,9,0,1,5,1,0,0,10,16,2,2,1,0,2,0,0,0,49,,
1991Q1,0147,1,0,0,0,12,0,0,0,2,12,1,1,0,0,0,0,1,0,29,,
1991Q1,0148,1,10,0,0,6,3,0,1,8,23,3,3,0,0,2,0,2,0,61,,
1991Q1,0152,1,14,0,11,9,5,0,3,2,35,4,15,6,1,24,0,5,0,134,,
1991Q1,0153,1,12,2,2,34,4,0,1,20,17,3,15,20,4,84,0,7,10,235,,
1991Q1,0154,1,15,2,1,26,4,0,2,5,14,2,0,2,2,6,1,1,1,84,,
1991Q1,0155,1,1,1,0,10,3,0,2,11,19,3,6,5,2,11,0,1,0,75,,
1991Q1,0156,1,1,3,1,21,0,0,0,15,9,0,0,4,0,7,0,3,0,64,,
1991Q1,0157,1,8,3,2,8,2,1,0,16,12,5,3,2,0,5,0,3,0,70,,
1991Q1,0158,1,8,1,1,12,2,0,0,16,32,2,3,0,0,2,0,5,1,85,,
1991Q1,0159,1,12,1,2,10,2,0,1,4,34,4,4,1,1,3,1,14,0,94,,
1991Q1,0164,1,9,7,2,34,19,0,0,6,10,2,4,16,0,6,0,1,0,116,,
1991Q1,0165,1,6,0,1,16,3,0,2,11,27,0,7,11,0,25,0,7,0,116,,
1991Q1,0166,1,6,5,0,14,3,2,2,8,19,2,3,1,0,4,0,3,0,72,,
1991Q1,0171,1,0,1,1,1,0,0,0,3,33,2,6,2,0,11,0,11,0,71,,
1991Q1,0172,1,14,7,2,13,2,0,0,6,66,2,15,4,1,60,1,11,1,205,,
1991Q1,0174,1,23,4,3,20,5,0,0,13,29,0,4,17,2,12,0,10,1,143,,
1991Q1,0176,1,18,1,5,15,9,0,1,9,27,3,3,6,1,11,1,4,1,115,,
1991Q1,0177,1,16,0,1,10,3,0,0,8,88,9,5,3,0,7,0,9,0,159,,
1991Q1,0181,1,3,2,3,9,0,2,0,9,26,6,5,0,1,3,0,7,0,76,,
1991Q1,0182,1,0,0,2,0,0,0,0,1,11,0,5,0,0,1,0,3,0,23,,
1991Q1,0184,1,8,1,3,15,3,0,2,16,70,5,4,0,0,9,1,19,0,156,,
1991Q1,0185,1,69,0,4,19,2,1,2,14,121,6,13,25,4,18,1,18,0,317,,
1991Q1,0192,1,0,0,0,1,0,0,0,8,4,1,2,0,0,1,0,6,0,23,,
1991Q1,0194,1,10,3,0,9,2,0,0,8,37,3,3,2,0,6,2,30,0,115,,
1991Q1,0195,1,30,1,1,12,4,0,0,11,62,6,7,2,0,10,0,20,1,167,,
1991Q1,0200,2,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,3,,
