Quarter,REPORTING  DISTRICT,DIVISION,BURG  BUS,BURG  RES,BURG  OTH,ROBB  ST,ROBB  OTH,MURDER,RAPE,AGGR  ASSAULT,BURG  FROM  AUTO,THEFT  FROM  AUTO,GRAND  THEFT,THEFT  FROM  PERS,PURSE  SNATCH,OTHER  THEFT,BIKE  THEFT,AUTO  THEFT,BUNCO,TOTAL
1992Q1,0100,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,3
1992Q1,0102,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1992Q1,0105,1,0,23,9,8,0,0,0,3,11,0,1,0,2,0,0,8,0,65
1992Q1,0106,1,4,0,0,9,1,0,1,0,47,3,2,5,3,4,0,29,0,108
1992Q1,0107,1,1,4,0,4,1,0,0,6,18,0,2,0,1,3,0,14,1,55
1992Q1,0109,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3
1992Q1,0111,1,16,6,7,34,5,0,1,10,110,7,9,17,1,18,2,46,0,289
1992Q1,0112,1,0,0,1,2,0,0,0,1,10,3,2,0,1,7,0,2,0,29
1992Q1,0114,1,0,0,1,1,1,0,0,2,16,3,1,0,0,1,1,10,0,37
1992Q1,0118,1,0,0,0,1,0,0,0,2,11,0,0,0,0,4,1,2,0,21
1992Q1,0119,1,2,3,0,3,3,0,1,3,30,1,7,0,0,5,0,22,0,80
1992Q1,0121,1,0,0,0,0,1,0,0,1,4,1,0,1,0,3,0,2,0,13
1992Q1,0122,1,0,0,1,0,0,0,0,0,22,3,1,1,1,2,0,1,0,32
1992Q1,0123,1,1,1,1,3,0,0,0,1,7,0,0,0,0,3,0,3,0,20
1992Q1,0124,1,3,0,3,3,0,0,0,4,28,2,3,1,0,22,1,2,0,72
1992Q1,0125,1,0,0,0,1,0,0,0,0,5,2,0,0,0,0,0,2,0,10
1992Q1,0127,1,3,0,4,2,0,0,0,3,13,3,3,0,0,7,1,4,0,43
1992Q1,0128,1,3,0,2,1,0,0,0,2,31,3,11,1,1,13,1,4,0,73
1992Q1,0129,1,0,0,1,2,1,0,0,2,24,0,2,1,0,5,0,2,0,40
1992Q1,0131,1,1,1,0,1,0,0,0,1,8,2,2,0,0,0,0,1,0,17
1992Q1,0132,1,2,3,0,2,0,0,1,2,59,4,6,1,0,13,0,3,1,97
1992Q1,0133,1,9,0,2,5,0,0,0,0,9,1,0,2,1,0,0,1,0,30
1992Q1,0134,1,4,0,2,3,1,0,0,5,5,1,2,2,1,7,0,4,0,37
1992Q1,0135,1,4,2,1,14,2,0,0,14,27,1,3,0,0,5,1,3,0,77
1992Q1,0136,1,2,0,0,7,1,0,0,10,5,0,3,0,0,1,0,0,0,29
1992Q1,0138,1,22,1,3,21,1,1,0,7,91,9,2,1,1,6,0,6,0,172
1992Q1,0139,1,4,0,2,0,1,0,0,2,52,3,4,0,1,2,2,8,0,81
1992Q1,0141,1,0,0,0,1,0,0,0,1,6,1,2,0,1,7,0,1,0,20
1992Q1,0142,1,3,3,6,4,0,0,0,4,32,2,11,5,0,14,1,5,0,90
1992Q1,0143,1,6,1,2,15,4,0,0,4,14,0,6,7,0,22,0,2,0,83
1992Q1,0144,1,3,1,2,28,5,0,0,19,7,0,2,3,1,14,0,2,0,87
1992Q1,0145,1,2,1,0,47,2,0,0,8,12,1,3,2,0,5,0,1,0,84
1992Q1,0146,1,6,1,0,7,0,0,0,6,11,2,1,0,0,4,0,1,0,39
1992Q1,0147,1,4,4,0,10,0,0,0,3,8,2,0,0,0,4,0,0,1,36
1992Q1,0148,1,2,1,0,11,2,0,0,13,20,0,3,1,1,4,0,1,0,59
1992Q1,0151,1,0,0,1,0,0,0,0,2,7,3,3,1,0,1,0,0,0,18
1992Q1,0152,1,8,0,7,13,10,0,0,5,41,3,19,11,2,27,1,9,0,156
1992Q1,0153,1,23,3,2,35,13,1,0,24,14,4,9,21,2,44,0,6,0,201
1992Q1,0154,1,4,6,1,19,2,0,0,17,17,2,4,4,0,9,0,3,0,88
1992Q1,0155,1,5,2,0,8,1,0,0,9,9,4,1,0,0,11,0,0,0,50
1992Q1,0156,1,5,2,1,12,0,1,0,8,2,2,0,0,0,5,0,1,0,39
1992Q1,0157,1,5,0,0,24,3,0,0,32,16,2,5,3,0,5,0,1,0,96
1992Q1,0158,1,3,2,2,23,5,0,2,15,22,6,3,2,1,5,0,6,0,97
1992Q1,0159,1,23,3,2,10,1,0,0,10,36,5,3,2,0,5,0,12,0,112
1992Q1,0161,1,1,0,2,2,0,0,0,1,20,1,3,0,0,9,0,2,0,41
1992Q1,0162,1,10,4,1,10,1,0,1,0,43,3,18,3,1,45,1,13,0,154
1992Q1,0163,1,19,1,1,13,3,0,1,4,20,1,3,9,3,14,0,8,0,100
1992Q1,0164,1,8,3,5,30,4,0,1,23,16,1,3,8,0,6,0,4,0,112
1992Q1,0165,1,4,0,1,5,2,0,0,7,7,3,0,2,0,8,0,1,0,40
1992Q1,0166,1,1,3,1,14,0,0,1,6,6,0,1,0,2,5,0,1,1,42
1992Q1,0171,1,2,2,0,3,0,0,0,5,26,1,4,0,0,8,0,10,0,61
1992Q1,0172,1,1,1,0,8,0,0,0,2,24,1,3,0,0,12,0,9,0,61
1992Q1,0174,1,18,2,1,13,4,0,0,3,18,4,1,8,0,6,0,4,0,82
1992Q1,0176,1,30,0,3,8,3,0,0,5,45,9,5,2,0,10,0,4,0,124
1992Q1,0177,1,5,0,0,0,0,0,0,1,14,3,3,0,0,3,0,2,0,31
1992Q1,0181,1,0,1,6,6,1,0,0,2,12,3,7,1,0,2,0,8,0,49
1992Q1,0182,1,16,2,7,10,3,0,2,6,44,6,8,4,0,4,0,20,0,132
1992Q1,0184,1,5,0,1,3,2,0,3,3,28,0,1,1,0,2,0,3,0,52
1992Q1,0185,1,70,0,4,8,7,0,1,9,80,9,8,22,2,27,0,19,0,266
1992Q1,0191,1,0,2,1,2,0,0,0,0,3,0,0,0,0,0,0,4,0,12
1992Q1,0192,1,9,2,0,6,0,0,0,15,11,5,4,0,1,7,0,12,0,72
1992Q1,0194,1,3,2,0,1,1,0,1,8,12,2,2,0,1,2,0,13,0,48
1992Q1,0195,1,51,4,1,10,1,1,0,13,56,5,3,5,1,10,0,17,0,178
1992Q1,0200,2,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,3
1992Q1,0211,2,3,7,2,7,0,0,0,14,18,9,2,5,1,7,0,23,0,98
1992Q1,0212,2,4,5,5,12,4,1,0,20,16,1,3,1,1,6,2,25,0,106
1992Q1,0213,2,7,21,4,2,3,0,0,7,18,7,0,0,1,4,0,21,0,95
1992Q1,0214,2,1,9,2,12,2,0,0,11,12,5,2,0,0,2,2,16,0,76
1992Q1,0215,2,1,8,1,11,4,0,0,11,14,6,4,0,0,4,0,23,0,87
1992Q1,0217,2,4,6,3,7,3,3,0,12,12,1,1,0,0,2,1,22,0,77
1992Q1,0219,2,4,2,0,3,0,1,0,7,5,2,0,0,0,2,0,7,0,33
1992Q1,0221,2,1,22,9,15,8,0,3,33,16,10,8,1,1,7,1,75,1,211
1992Q1,0222,2,4,13,5,2,2,0,0,18,17,2,2,2,1,8,4,19,0,99
1992Q1,0223,2,1,2,2,4,0,0,0,5,12,0,1,0,0,2,2,20,0,51
1992Q1,0224,2,1,3,0,3,0,0,1,5,8,4,0,0,0,3,0,10,0,38
1992Q1,0231,2,2,6,6,12,4,1,1,21,16,5,4,2,1,1,0,34,1,117
1992Q1,0232,2,4,12,1,13,3,0,0,29,14,4,5,1,2,6,2,22,1,119
1992Q1,0233,2,8,11,3,12,5,0,2,15,12,7,3,1,0,14,0,16,0,109
1992Q1,0234,2,7,14,7,20,6,0,3,35,46,14,3,0,0,9,2,49,0,215
1992Q1,0235,2,3,6,10,11,7,1,0,19,26,11,3,1,1,10,1,32,0,142
1992Q1,0236,2,3,5,5,24,8,0,2,26,17,7,2,1,0,14,3,30,0,147
1992Q1,0237,2,1,6,4,28,3,0,1,24,22,6,1,2,0,8,2,25,0,133
1992Q1,0238,2,2,5,3,13,2,0,0,13,3,6,2,0,0,2,1,8,0,60
1992Q1,0239,2,0,1,0,3,1,0,0,1,4,1,2,0,0,1,0,1,0,15
1992Q1,0241,2,5,19,3,17,2,0,2,30,22,7,4,1,0,9,0,38,0,159
1992Q1,0242,2,10,9,4,20,7,1,0,16,23,9,9,5,2,8,0,31,0,154
1992Q1,0243,2,5,10,8,24,3,2,2,20,44,7,5,15,1,27,2,38,0,213
1992Q1,0244,2,4,13,6,15,6,0,3,26,46,14,4,1,0,8,1,51,0,198
1992Q1,0245,2,8,14,5,25,4,0,1,29,73,7,3,6,0,10,0,34,0,219
