"rd92","rd95","rd96","rd97","rd99","rd05"
1194,101,101,101,101,"101"
105,105,105,105,105,"105"
109,109,109,109,109,"109"
111,111,111,111,111,NA
112,112,112,112,112,NA
119,119,119,119,119,"119"
121,121,121,121,121,NA
122,122,122,122,122,"122"
123,123,123,123,123,NA
124,124,124,124,124,"124"
127,127,127,127,127,NA
128,128,128,128,128,NA
129,129,129,129,129,"129"
131,131,131,131,131,"131"
132,132,132,132,132,"132"
133,133,133,133,133,NA
134,134,134,134,134,"134"
135,135,135,135,135,"135"
138,138,138,138,138,"138"
139,139,139,139,139,"139"
141,141,141,141,141,"141"
142,142,142,142,142,"142"
143,143,143,143,143,"143"
144,144,144,144,144,"144"
145,145,145,145,145,"145"
146,146,146,146,146,"146"
147,147,147,147,147,"147"
148,148,148,148,148,NA
151,151,151,151,151,"151"
152,152,152,152,152,"152"
153,153,153,153,153,"153"
154,154,154,154,154,"154"
155,155,155,155,155,"155"
156,156,156,156,156,"156"
157,157,157,157,157,"157"
158,158,158,158,158,NA
159,159,159,159,159,"159"
161,161,161,161,161,"161"
162,162,162,162,162,"162"
163,163,163,163,163,"163"
164,164,164,164,164,"164"
165,165,165,165,165,"165"
166,166,166,166,166,"166"
171,171,171,171,171,"171"
174,174,174,174,174,"174"
176,176,176,176,176,"176"
181,181,181,181,181,"181"
182,182,182,182,182,"182"
185,185,185,185,185,"185"
191,191,191,191,191,"191"
192,192,192,192,192,"192"
195,195,195,195,195,"195"
211,211,211,211,211,"211"
212,212,212,212,212,"212"
213,213,213,213,213,"213"
214,214,214,214,214,NA
215,215,215,215,215,"215"
217,217,217,217,217,"217"
219,219,219,219,219,"219"
221,221,221,221,221,"221"
222,222,222,222,222,"222"
224,224,224,224,224,NA
231,231,231,231,231,"231"
232,232,232,232,232,"232"
233,233,233,233,233,"233"
234,234,234,234,234,"234"
235,235,235,235,235,"235"
236,236,236,236,236,"236"
237,237,237,237,237,"237"
238,238,238,238,238,"238"
239,239,239,239,239,"239"
241,241,241,241,241,"241"
242,242,242,242,242,"242"
243,243,243,243,243,"243"
244,244,244,244,244,"244"
245,245,245,245,245,"245"
246,246,246,246,246,NA
247,247,247,247,247,NA
249,249,249,249,249,"249"
251,251,251,251,251,NA
252,252,252,252,252,NA
256,256,256,256,256,NA
257,257,257,257,257,NA
264,264,264,264,264,NA
266,266,266,266,266,NA
267,267,267,267,267,NA
269,269,269,269,269,"269"
275,275,275,275,275,"275"
276,276,276,276,276,"276"
279,279,279,279,279,"279"
281,281,281,281,281,"281"
282,282,282,282,282,"282"
286,286,286,286,286,"286"
289,289,289,289,289,"289"
291,291,291,291,291,"291"
292,292,292,292,292,"292"
296,296,296,296,296,"296"
299,299,299,299,299,"299"
781,301,301,301,301,"301"
793,303,303,303,303,"303"
311,305,305,305,305,"305"
312,307,307,307,307,"307"
309,309,309,309,309,"309"
791,311,311,311,311,"311"
794,312,312,312,312,"312"
313,313,313,313,313,"313"
314,314,314,314,314,"314"
315,315,315,315,315,"315"
316,316,316,316,316,"316"
317,317,317,317,317,"317"
318,318,318,318,318,"318"
319,319,319,319,319,"319"
795,321,321,321,321,"321"
326,326,326,326,326,"326"
327,327,327,327,327,"327"
328,328,328,328,328,"328"
329,329,329,329,329,"329"
331,331,331,331,331,"331"
332,332,332,332,332,"332"
333,333,333,333,333,"333"
334,334,334,334,334,"334"
335,335,335,335,335,"335"
336,336,336,336,336,"336"
337,337,337,337,337,"337"
338,338,338,338,338,"338"
797,341,341,341,341,"341"
796,343,343,343,343,"343"
351,351,351,351,351,"351"
353,353,353,353,353,"353"
354,354,354,354,354,"354"
355,355,355,355,355,"355"
356,356,356,356,356,"356"
357,357,357,357,357,"357"
358,358,358,358,358,"358"
359,359,359,359,359,"359"
361,361,361,361,361,"361"
362,362,362,362,362,"362"
363,363,363,363,363,"363"
373,373,373,373,373,"373"
374,374,374,374,374,"374"
375,375,375,375,375,"375"
376,376,376,376,376,"376"
377,377,377,377,377,"377"
378,378,378,378,378,"378"
391,391,391,391,391,"391"
1201,392,392,392,392,"392"
393,393,393,393,393,"393"
394,394,394,394,394,"394"
395,395,395,395,395,"395"
397,397,397,397,397,"397"
398,398,398,398,398,"398"
399,399,399,399,399,"399"
401,401,401,401,401,"401"
402,402,402,402,402,"402"
403,403,403,403,403,"403"
404,404,404,404,404,NA
405,405,405,405,405,"405"
406,406,406,406,406,NA
407,407,407,407,407,NA
408,408,408,408,408,"408"
409,409,409,409,409,"409"
411,411,411,411,411,"411"
412,412,412,412,412,"412"
413,413,413,413,413,"413"
414,414,414,414,414,"414"
415,415,415,415,415,NA
416,416,416,416,416,NA
421,421,421,421,421,"421"
422,422,422,422,422,"422"
423,423,423,423,423,"423"
424,424,424,424,424,"424"
427,427,427,427,427,"427"
428,428,428,428,428,"428"
429,429,429,429,429,"429"
437,437,437,437,437,"437"
438,438,438,438,438,"438"
439,439,439,439,439,"439"
441,441,441,441,441,"441"
442,442,442,442,442,"442"
443,443,443,443,443,"443"
445,445,445,445,445,"445"
448,448,448,448,448,"448"
449,449,449,449,449,"449"
451,451,451,451,451,"451"
452,452,452,452,452,"452"
453,453,453,453,453,"453"
455,455,455,455,455,"455"
457,457,457,457,457,"457"
459,459,459,459,459,"459"
462,462,462,462,462,"462"
463,463,463,463,463,"463"
466,466,466,466,466,"466"
467,467,467,467,467,"467"
468,468,468,468,468,"468"
469,469,469,469,469,"469"
471,471,471,471,471,"471"
473,473,473,473,473,"473"
477,477,477,477,477,"477"
478,478,478,478,478,"478"
479,479,479,479,479,"479"
483,483,483,483,483,"483"
487,487,487,487,487,"487"
488,488,488,488,488,"488"
491,491,491,491,491,"491"
497,497,497,497,497,"497"
499,499,499,499,499,"499"
1891,1891,501,501,501,NA
1892,1892,502,502,502,NA
501,501,504,504,504,"504"
502,502,505,505,505,"505"
503,503,506,506,506,"506"
504,504,507,507,507,"507"
505,505,508,508,508,NA
506,506,509,509,509,NA
511,511,511,511,511,"511"
512,512,512,512,512,"512"
513,513,513,513,513,"513"
514,514,514,514,514,"514"
515,515,515,515,515,"515"
516,516,516,516,516,"516"
517,517,517,517,517,"517"
519,519,519,519,519,"519"
521,521,521,521,521,"521"
523,523,523,523,523,"523"
524,524,524,524,524,"524"
525,525,525,525,525,"525"
527,527,527,527,527,"527"
529,529,529,529,529,"529"
541,541,541,541,541,"541"
551,551,551,551,551,"551"
555,555,555,555,555,"555"
557,557,557,557,557,"557"
558,558,558,558,558,"558"
559,559,559,559,559,"559"
561,561,561,561,561,"561"
562,562,562,562,562,"562"
563,563,563,563,563,"563"
565,565,565,565,565,"565"
567,567,567,567,567,"567"
569,569,569,569,569,"569"
581,581,581,581,581,"581"
583,583,583,583,583,"583"
584,584,584,584,584,"584"
585,585,585,585,585,"585"
587,587,587,587,587,"587"
589,589,589,589,589,"589"
599,599,599,599,599,"599"
604,604,604,604,604,"604"
609,609,609,609,609,"609"
615,615,615,615,615,"615"
621,621,621,621,621,"621"
622,622,622,622,622,"622"
625,625,625,625,625,"625"
626,626,626,626,626,"626"
627,627,627,627,627,"627"
628,628,628,628,628,"628"
629,629,629,629,629,NA
631,631,631,631,631,"631"
632,632,632,632,632,"632"
635,635,635,635,635,NA
636,636,636,636,636,NA
637,637,637,637,637,"637"
638,638,638,638,638,"638"
639,639,639,639,639,"639"
642,642,642,642,642,"642"
643,643,643,643,643,NA
644,644,644,644,644,NA
645,645,645,645,645,"645"
646,646,646,646,646,"646"
647,647,647,647,647,"647"
649,649,649,649,649,"649"
665,665,665,665,665,"665"
666,666,666,666,666,"666"
667,667,667,667,667,NA
668,668,668,668,668,NA
669,669,669,669,669,"669"
671,671,671,671,671,"671"
672,672,672,672,672,"672"
674,674,674,674,674,"674"
676,676,676,676,676,"676"
677,677,677,677,677,"677"
678,678,678,678,678,"678"
679,679,679,679,679,"679"
691,691,691,691,691,"691"
692,692,692,692,692,"692"
693,693,693,693,693,"693"
694,694,694,694,694,"694"
697,697,697,697,697,"697"
699,699,699,699,699,"699"
701,701,701,701,701,"701"
702,702,702,702,702,"702"
703,703,703,703,703,"703"
704,704,704,704,704,"704"
705,705,705,705,705,"705"
675,706,706,706,706,"706"
696,707,707,707,707,"707"
708,708,708,708,708,"708"
709,709,709,709,709,"709"
711,711,711,711,711,"711"
714,714,714,714,714,"714"
715,715,715,715,715,"715"
695,716,716,716,716,"716"
706,717,717,717,717,"717"
707,718,718,718,718,"718"
719,719,719,719,719,NA
721,721,721,721,721,"721"
722,722,722,722,722,"722"
723,723,723,723,723,"723"
724,724,724,724,724,"724"
725,725,725,725,725,"725"
726,726,726,726,726,"726"
727,727,727,727,727,NA
728,728,728,728,728,NA
729,729,729,729,729,NA
731,731,731,731,731,"731"
732,732,732,732,732,"732"
733,733,733,733,733,"733"
734,734,734,734,734,"734"
735,735,735,735,735,"735"
736,736,736,736,736,"736"
737,737,737,737,737,"737"
738,738,738,738,738,"738"
739,739,739,739,739,"739"
741,741,741,741,741,"741"
742,742,742,742,742,"742"
743,743,743,743,743,"743"
745,745,745,745,745,"745"
746,746,746,746,746,"746"
747,747,747,747,747,"747"
748,748,748,748,748,NA
749,749,749,749,749,NA
758,754,754,754,754,NA
759,755,755,755,755,NA
271,756,756,756,756,"756"
261,757,757,757,757,NA
262,758,758,758,758,NA
272,759,759,759,759,NA
761,761,761,761,761,"761"
762,762,762,762,762,"762"
763,763,763,763,763,"763"
764,764,764,764,764,"764"
765,765,765,765,765,"765"
766,766,766,766,766,"766"
767,767,767,767,767,NA
768,768,768,768,768,NA
273,769,769,769,769,NA
771,771,771,771,771,"771"
772,772,772,772,772,"772"
773,773,773,773,773,"773"
774,774,774,774,774,"774"
775,775,775,775,775,"775"
776,776,776,776,776,"776"
777,777,777,777,777,NA
778,778,778,778,778,NA
779,779,779,779,779,"779"
782,782,782,782,782,"782"
783,783,783,783,783,"783"
784,784,784,784,784,"784"
785,785,785,785,785,"785"
786,786,786,786,786,"786"
787,787,787,787,787,"787"
788,788,788,788,788,"788"
789,789,789,789,789,"789"
801,801,801,801,801,NA
802,802,802,802,802,"802"
803,803,803,803,803,"803"
804,804,804,804,804,"804"
805,805,805,805,805,"805"
806,806,806,806,806,"806"
807,807,807,807,807,"807"
808,808,808,808,808,"808"
809,809,809,809,809,"809"
811,811,811,811,811,NA
812,812,812,812,812,"812"
813,813,813,813,813,"813"
814,814,814,814,814,"814"
815,815,815,815,815,"815"
816,816,816,816,816,"816"
817,817,817,817,817,"817"
818,818,818,818,818,"818"
819,819,819,819,819,"819"
821,821,821,821,821,"821"
822,822,822,822,822,"822"
823,823,823,823,823,"823"
824,824,824,824,824,"824"
825,825,825,825,825,"825"
826,826,826,826,826,"826"
827,827,827,827,827,"827"
828,828,828,828,828,"828"
829,829,829,829,829,"829"
831,831,831,831,831,"831"
832,832,832,832,832,"832"
833,833,833,833,833,"833"
834,834,834,834,834,"834"
835,835,835,835,835,"835"
836,836,836,836,836,"836"
839,839,839,839,839,"839"
