Quarter,REPORTING  DISTRICT,DIVISION,BURG  BUS-,BURG  RES-,BURG  OTH-,ROBB  ST-,ROBB  OTH-,MURDER,RAPE,AGGR  ASSAULT,BURG  FROM  AUTO,THEFT  FROM  AUTO,GRAND  THEFT,THEFT  FROM  PERS,PURSE  SNATCH,OTHER  THEFT,BIKE  THEFT,AUTO  THEFT,BUNCO,TOTAL
1993Q1,0100 ,1,0,0,0,0,1,0,0,1,1,0,0,1,0,2,0,0,0,6
1993Q1,0105 ,1,2,0,1,0,1,0,0,1,5,0,0,0,1,1,0,6,0,18
1993Q1,0109 ,1,0,0,0,1,0,0,0,2,3,0,0,0,0,0,0,0,0,6
1993Q1,0110 ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1993Q1,0111 ,1,19,3,9,45,9,0,1,12,100,9,9,6,1,17,0,60,0,300
1993Q1,0112 ,1,1,0,0,2,0,0,0,3,17,1,2,3,1,4,0,7,0,41
1993Q1,0119 ,1,2,2,3,8,1,0,1,8,24,4,4,3,0,9,0,46,0,115
1993Q1,0121 ,1,0,1,0,0,0,0,0,1,18,0,0,0,0,2,0,2,0,24
1993Q1,0122 ,1,0,0,2,3,1,0,0,3,27,1,5,0,0,3,0,4,0,49
1993Q1,0123 ,1,1,0,2,2,1,0,0,8,10,1,2,1,0,3,0,3,0,34
1993Q1,0124 ,1,1,0,2,7,0,0,0,4,13,6,5,1,2,20,0,0,1,62
1993Q1,0127 ,1,0,1,0,1,0,0,0,2,6,0,3,0,0,1,0,0,0,14
1993Q1,0128 ,1,6,0,1,1,0,0,0,4,51,2,3,1,0,7,0,2,0,78
1993Q1,0129 ,1,4,0,0,3,1,0,0,0,12,1,0,0,0,3,0,5,0,29
1993Q1,0131 ,1,0,2,0,0,0,0,0,1,4,0,3,0,0,0,0,5,0,15
1993Q1,0132 ,1,2,3,2,1,0,0,0,2,59,2,2,0,0,3,1,2,0,79
1993Q1,0133 ,1,2,0,0,7,1,0,0,2,9,0,3,1,1,3,0,2,0,31
1993Q1,0134 ,1,3,0,1,7,2,0,0,2,6,4,0,5,0,5,0,0,1,36
1993Q1,0135 ,1,1,1,0,24,0,0,0,14,14,5,3,3,0,3,1,3,0,72
1993Q1,0138 ,1,3,1,3,12,1,0,0,3,61,5,3,1,0,10,0,4,0,107
1993Q1,0139 ,1,9,0,3,2,0,0,1,3,28,5,2,0,0,3,0,2,0,58
1993Q1,0141 ,1,0,0,0,2,0,0,0,2,3,0,3,0,0,4,0,0,0,14
1993Q1,0142 ,1,7,2,5,5,0,0,0,3,44,3,11,5,0,13,1,8,0,107
1993Q1,0143 ,1,13,0,2,7,2,0,0,0,9,0,5,7,2,32,0,2,0,81
1993Q1,0144 ,1,3,1,0,12,5,0,1,10,7,0,1,6,0,6,0,0,0,52
1993Q1,0145 ,1,4,0,1,30,3,0,0,6,5,2,4,1,0,2,0,0,0,58
1993Q1,0146 ,1,4,1,0,2,1,0,0,10,2,0,3,3,0,0,0,0,0,26
1993Q1,0147 ,1,0,4,0,12,2,0,0,12,6,0,0,1,0,0,0,0,0,37
1993Q1,0148 ,1,5,0,0,8,2,0,0,7,4,1,0,0,0,2,0,1,0,30
1993Q1,0151 ,1,1,0,0,2,0,0,0,1,13,1,6,2,0,7,0,0,0,33
1993Q1,0152 ,1,22,0,7,11,10,0,0,5,24,4,17,6,0,18,1,2,0,127
1993Q1,0153 ,1,10,0,2,45,8,1,0,19,16,3,12,24,2,75,1,1,0,219
