QUARTER,REPORTING  DISTRICT,DIVISION,BURG  BUS-,BURG  RES-,BURG  OTH-,ROBB  ST-,ROBB  OTH-,MURDER,RAPE,AGGR  ASSAULT,BURG  FROM  AUTO,THEFT  FROM  AUTO,GRAND  THEFT,THEFT  FROM  PERS,PURSE  SNATCH,OTHER  THEFT,BIKE THEFT,AUTO  THEFT,BUNCO,TOTAL
1997Q1,0101,1,0,16,4,3,2,0,0,6,5,6,1,0,0,4,0,8,0,55
1997Q1,0105,1,0,0,0,3,1,0,0,0,0,1,0,0,0,0,0,5,0,10
1997Q1,0109,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1997Q1,0111,1,6,4,5,13,2,0,0,12,26,4,8,6,2,6,0,28,0,122
1997Q1,0112,1,0,0,0,1,0,0,0,0,7,0,0,0,0,0,0,1,0,9
1997Q1,0119,1,1,1,0,2,1,0,0,2,16,2,5,1,0,10,0,16,0,57
1997Q1,0121,1,0,0,0,0,0,0,0,0,8,2,1,0,0,0,0,1,0,12
1997Q1,0122,1,1,0,5,0,0,0,0,1,10,2,4,1,1,3,0,2,0,30
1997Q1,0123,1,0,0,0,2,0,0,0,1,5,1,1,0,0,0,0,0,0,10
1997Q1,0124,1,1,0,1,1,0,0,0,1,4,0,4,0,0,15,0,1,0,28
1997Q1,0127,1,0,0,0,0,0,0,0,1,3,0,1,0,0,2,0,2,0,9
1997Q1,0128,1,4,0,3,2,0,0,0,1,3,1,6,0,0,6,0,0,0,26
1997Q1,0129,1,0,0,1,1,0,0,0,1,3,3,2,0,0,4,0,4,0,19
1997Q1,0131,1,0,0,0,0,0,0,0,0,3,2,3,0,0,1,0,0,0,9
1997Q1,0132,1,0,2,2,3,5,0,0,2,26,1,1,0,0,2,0,2,0,46
1997Q1,0133,1,0,0,0,3,0,0,0,0,4,1,1,1,0,1,0,2,0,13
1997Q1,0134,1,0,0,1,8,2,1,0,4,1,2,2,1,0,5,0,0,0,27
1997Q1,0135,1,0,0,0,5,0,0,0,6,7,1,0,2,1,2,0,1,0,25
1997Q1,0138,1,2,0,0,0,1,0,0,4,12,5,3,0,0,2,0,2,0,31
1997Q1,0139,1,2,0,0,3,0,0,0,0,10,4,3,1,0,0,0,3,0,26
1997Q1,0141,1,1,0,1,1,1,0,0,0,0,0,0,0,0,3,0,0,0,7
1997Q1,0142,1,3,1,9,1,1,0,0,5,25,3,17,0,0,11,0,1,0,77
1997Q1,0143,1,2,0,2,3,1,0,1,3,3,1,2,1,1,6,0,2,0,28
