QUARTER,RD,QUARTER,BURG BUS-,BURG RES-,BURG OTH-,ROBB ST-,ROBB OTH-,MURD- ER,RAPE,AGGR ASSA- ULT,BURG FROM AUTO,THEFT FROM AUTO,GRAND THEFT,THEFT FROM PERS,PURSE SNAT- CH,OTHER THEFT,BIKE THEFT,AUTO THEFT,BUNCO,TOTAL
2001Q1,0101,1,0,6,0,1,0,0,1,5,13,4,0,1,0,4,0,11,0,46
2001Q1,0105,1,0,0,0,1,1,0,0,0,3,1,0,0,0,0,0,3,0,9
2001Q1,0109,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,4
2001Q1,0110,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
2001Q1,0111,1,6,2,4,14,7,0,0,4,36,4,5,11,0,11,0,15,0,119
2001Q1,0112,1,0,0,0,0,0,0,0,1,2,1,1,1,0,0,0,2,0,8
2001Q1,0119,1,2,0,2,2,1,0,1,11,10,6,7,2,0,6,0,12,1,63
2001Q1,0121,1,1,0,0,3,0,0,1,0,4,1,0,0,0,0,0,1,0,11
2001Q1,0122,1,0,0,0,0,0,0,1,2,1,2,1,1,0,2,0,0,0,10
2001Q1,0123,1,0,0,0,0,0,0,0,0,1,1,1,0,0,7,0,2,0,12
2001Q1,0124,1,0,0,1,0,0,0,0,0,1,0,3,1,0,6,0,2,1,15
2001Q1,0127,1,0,0,0,0,0,0,0,0,3,4,1,1,0,5,0,1,0,15
2001Q1,0128,1,9,1,0,1,2,0,0,2,20,3,5,0,0,4,0,2,0,49
2001Q1,0129,1,1,0,2,0,0,0,0,1,8,2,2,0,0,2,0,5,0,23
2001Q1,0131,1,0,0,0,0,0,0,0,2,6,0,1,0,0,0,0,2,0,11
2001Q1,0132,1,0,2,0,0,0,2,0,1,13,0,1,0,0,4,0,4,0,27
2001Q1,0133,1,0,0,1,0,1,0,0,2,3,1,2,0,0,1,0,1,0,12
2001Q1,0134,1,0,0,0,2,5,0,0,5,1,0,3,6,2,2,0,1,0,27
2001Q1,0135,1,0,4,0,7,3,0,0,6,5,1,0,1,0,4,0,1,0,32
2001Q1,0138,1,1,1,1,0,1,0,0,5,46,5,2,1,1,3,0,1,0,68
2001Q1,0139,1,3,0,4,0,0,0,0,3,24,3,3,0,0,0,0,2,0,42
2001Q1,0141,1,0,0,0,0,1,0,0,0,0,1,2,0,0,1,0,0,0,5
2001Q1,0142,1,2,1,1,2,6,0,2,2,15,1,20,1,0,4,0,3,0,60
2001Q1,0143,1,0,0,0,3,0,0,0,3,2,3,1,1,0,2,0,0,0,15
2001Q1,0144,1,0,8,0,2,1,0,0,9,0,1,0,1,0,1,0,0,1,24
2001Q1,0145,1,0,2,0,3,0,0,0,0,2,0,2,3,0,0,0,1,0,13
2001Q1,0146,1,0,0,0,3,0,0,0,1,0,0,2,2,0,0,0,1,0,9
2001Q1,0147,1,0,3,0,2,0,0,0,5,1,1,0,1,1,2,0,1,0,17
2001Q1,0148,1,0,0,0,2,1,0,0,7,2,2,1,0,0,1,0,1,0,17
2001Q1,0151,1,0,1,0,0,0,0,0,0,3,1,3,0,0,2,0,1,0,11
2001Q1,0152,1,4,3,0,2,3,1,2,3,7,3,23,2,0,16,1,5,1,76
2001Q1,0153,1,6,2,0,8,6,0,0,13,1,1,11,11,1,23,0,0,0,83
2001Q1,0154,1,0,4,1,4,2,0,4,11,6,0,2,0,0,7,0,2,0,43
2001Q1,0155,1,0,0,0,5,2,0,0,6,3,2,1,2,0,5,0,0,0,26
2001Q1,0156,1,0,1,1,8,0,0,0,10,0,2,1,2,0,13,0,0,0,38
2001Q1,0157,1,0,3,0,1,0,0,0,11,7,1,1,2,0,4,0,1,0,31
2001Q1,0158,1,0,1,2,7,1,0,3,6,4,5,1,2,0,7,0,3,0,42
2001Q1,0159,1,6,1,1,5,2,1,1,6,15,10,1,1,0,5,0,9,0,64
2001Q1,0161,1,0,0,1,1,0,0,0,0,8,1,3,2,0,12,0,4,0,32
2001Q1,0162,1,9,3,0,3,4,0,0,7,21,3,10,3,0,49,0,7,0,119
2001Q1,0163,1,2,0,0,6,2,0,0,6,5,3,5,8,3,3,0,1,0,44
2001Q1,0164,1,1,0,0,6,2,0,1,11,1,2,1,1,0,8,0,3,0,37
2001Q1,0165,1,0,0,0,5,0,0,0,2,2,3,0,2,0,3,0,1,0,18
2001Q1,0166,1,0,1,0,11,1,0,2,18,1,1,2,3,0,6,0,0,0,46
2001Q1,0171,1,0,2,0,0,0,0,0,4,1,2,0,0,0,3,0,2,0,14
2001Q1,0174,1,0,5,0,3,1,0,1,3,3,2,4,2,0,7,0,5,0,36
2001Q1,0176,1,0,0,0,4,0,0,0,0,8,3,3,7,0,4,0,4,0,33
2001Q1,0181,1,1,0,0,0,0,0,0,0,9,3,16,4,0,6,0,3,0,42
2001Q1,0182,1,8,1,0,3,2,0,0,11,53,9,6,1,0,9,0,11,0,114
2001Q1,0185,1,6,0,1,5,3,0,2,6,33,5,13,22,2,23,0,12,0,133
2001Q1,0191,1,0,0,0,0,0,0,0,1,2,2,0,1,0,1,0,1,0,8
2001Q1,0192,1,5,0,2,2,3,0,0,4,18,7,6,1,1,9,0,10,0,68
2001Q1,0195,1,16,1,1,2,0,0,0,5,26,5,3,1,2,4,0,9,0,75
2001Q1,0211,2,4,4,1,14,4,0,1,13,10,9,2,1,0,7,0,18,0,88
2001Q1,0212,2,3,2,1,6,7,1,1,11,6,5,1,0,0,10,0,12,0,66
2001Q1,0213,2,2,18,1,1,0,0,0,8,13,7,0,0,0,4,0,10,0,64
2001Q1,0214,2,2,6,0,5,1,0,0,8,12,15,2,0,0,5,0,12,0,68
2001Q1,0215,2,2,6,2,5,0,1,0,12,17,13,5,0,1,5,0,6,0,75
2001Q1,0217,2,1,2,0,10,1,0,0,11,8,9,0,0,0,5,0,16,0,63
2001Q1,0219,2,0,1,0,3,1,0,0,8,1,3,1,0,0,1,0,8,0,27
2001Q1,0221,2,0,5,0,3,4,0,3,18,9,14,5,0,0,9,0,22,0,92
2001Q1,0222,2,0,2,0,3,4,0,0,3,10,3,0,0,0,1,0,6,0,32
2001Q1,0224,2,0,3,1,2,0,0,0,8,2,6,1,0,0,2,0,5,0,30
2001Q1,0231,2,0,0,0,5,0,1,1,13,10,6,0,0,0,4,0,9,0,49
2001Q1,0232,2,1,5,0,10,3,0,2,10,3,5,3,0,0,8,0,11,0,61
2001Q1,0233,2,0,3,2,5,4,1,0,18,8,15,1,0,0,6,0,16,1,80
