quarter,RD,division,burg.bus,burg.res,burg.oth,robb.st,robb.oth,murder,rape,aggr.assault,burg.from.auto,theft.from.auto,grand.theft,theft.from.pers,purse.snatch,other.theft,bike.theft,auto.theft,bunco,total
2002Q1,0100,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
2002Q1,0101,1,0,4,0,2,0,0,0,4,15,8,1,0,0,2,0,13,0,49
2002Q1,0105,1,0,0,7,1,0,0,0,1,5,7,0,0,0,0,0,3,0,24
2002Q1,0110,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2002Q1,0111,1,16,4,4,11,4,0,0,10,21,6,9,2,1,17,3,16,0,124
2002Q1,0112,1,0,0,0,0,1,0,0,1,5,0,0,0,0,0,0,2,0,9
2002Q1,0119,1,1,1,4,4,0,0,0,4,7,3,8,0,0,8,0,7,0,47
2002Q1,0121,1,0,0,0,0,0,0,0,5,1,0,2,0,0,3,0,2,0,13
2002Q1,0122,1,0,0,0,0,0,0,0,1,5,3,5,0,0,6,0,0,0,20
2002Q1,0123,1,0,0,0,1,1,0,0,3,1,0,3,0,0,4,1,1,0,15
2002Q1,0124,1,0,0,1,1,0,0,0,2,6,0,4,1,0,4,0,2,1,22
2002Q1,0127,1,0,0,0,3,0,0,0,0,1,0,1,0,0,1,0,0,0,6
2002Q1,0128,1,0,0,1,1,1,0,0,3,5,3,6,1,0,3,0,1,0,25
2002Q1,0129,1,0,1,0,0,0,0,0,1,7,2,1,0,0,5,0,2,0,19
2002Q1,0131,1,1,3,1,0,0,0,0,2,9,0,1,0,0,1,0,1,0,19
2002Q1,0132,1,1,2,1,1,0,0,0,2,15,0,5,0,0,1,0,3,0,31
2002Q1,0133,1,0,0,1,1,0,0,0,0,1,0,3,1,0,0,0,1,0,8
2002Q1,0134,1,0,0,0,2,2,0,0,7,2,1,1,2,0,3,0,1,0,21
2002Q1,0135,1,0,1,0,10,0,0,0,6,7,1,0,2,0,3,0,2,0,32
2002Q1,0138,1,10,4,1,10,0,0,2,8,24,4,3,2,0,8,0,4,0,80
2002Q1,0139,1,2,0,0,1,0,0,1,2,9,1,3,0,0,3,1,3,0,26
2002Q1,0141,1,0,0,0,0,0,0,1,1,0,0,5,0,0,1,0,0,0,8
2002Q1,0142,1,3,1,3,2,0,0,0,2,18,4,5,0,0,12,1,6,0,57
2002Q1,0143,1,1,0,0,6,1,0,0,2,2,2,2,2,0,2,0,1,0,21
2002Q1,0144,1,0,11,0,10,8,1,0,10,3,0,0,1,0,4,0,1,0,49
2002Q1,0145,1,0,0,0,4,1,0,0,2,2,1,3,1,0,4,0,1,0,19
2002Q1,0146,1,1,1,0,1,0,0,0,2,1,2,4,2,0,10,0,3,0,27
2002Q1,0147,1,1,0,0,1,1,0,0,4,0,0,1,2,0,5,0,0,0,15
2002Q1,0148,1,0,0,0,4,0,0,0,9,0,0,0,0,0,0,0,1,0,14
2002Q1,0151,1,1,1,0,0,0,0,0,2,0,1,4,0,0,5,0,0,0,14
2002Q1,0152,1,13,0,1,4,1,0,1,4,8,5,10,2,0,11,2,0,1,63
2002Q1,0153,1,1,4,0,18,9,0,0,13,3,2,15,6,2,19,1,2,2,97
2002Q1,0154,1,0,4,1,15,4,0,0,11,9,4,1,2,1,1,0,2,0,55
2002Q1,0155,1,0,2,0,4,0,0,0,7,1,1,1,1,0,7,0,1,0,25
2002Q1,0156,1,0,2,0,8,2,0,0,15,2,0,3,0,0,20,0,0,0,52
2002Q1,0157,1,0,3,0,10,1,0,1,10,3,6,1,0,0,14,3,3,0,55
2002Q1,0158,1,1,2,0,7,0,0,0,14,7,0,2,0,0,4,1,7,0,45
2002Q1,0159,1,6,0,1,7,2,1,0,8,20,2,2,1,0,4,0,5,0,59
2002Q1,0161,1,1,0,0,1,1,0,0,0,1,0,2,0,0,13,0,1,0,20
2002Q1,0162,1,3,2,0,3,7,0,0,6,7,4,10,0,1,58,1,4,0,106
2002Q1,0163,1,5,0,2,5,4,0,0,6,5,2,3,2,0,13,0,2,0,49
2002Q1,0164,1,1,2,0,14,2,1,1,12,1,1,3,6,1,6,0,3,0,54
2002Q1,0165,1,2,2,0,9,1,0,1,1,2,2,2,1,0,1,0,0,0,24
2002Q1,0166,1,0,1,0,25,0,0,0,16,2,1,0,4,0,9,0,1,0,59
2002Q1,0171,1,0,0,0,1,0,0,0,1,4,1,2,1,0,2,0,1,0,13
2002Q1,0174,1,1,4,1,7,2,0,1,5,7,3,1,2,1,1,0,3,0,39
