rd,year,Q,AGG,BTFV,BURG,GTA,GTP,HOM,ROBB
101,1988,1,4,20,5,18,1,0,2
101,1988,2,5,25,12,17,0,0,1
101,1988,3,5,18,8,18,1,0,9
101,1988,4,2,16,9,15,3,0,6
101,1989,1,5,27,12,23,3,0,3
101,1989,2,4,18,10,31,2,0,9
101,1989,3,6,27,15,23,1,0,9
101,1989,4,7,11,12,22,0,0,5
101,1990,1,7,19,13,21,3,1,10
101,1990,2,11,29,4,32,2,0,6
101,1990,3,14,22,5,24,1,0,10
101,1990,4,6,19,9,21,4,0,8
101,1991,1,4,27,13,34,0,0,8
101,1991,2,7,25,17,27,1,0,10
101,1991,3,12,22,13,27,2,0,7
101,1991,4,11,33,10,30,2,0,25
101,1992,1,5,10,7,10,0,0,10
101,1992,2,4,18,13,25,1,0,23
101,1992,3,4,21,5,20,2,0,26
101,1992,4,3,8,10,21,1,1,16
101,1993,1,9,25,6,15,1,0,19
101,1993,2,8,14,19,26,0,0,17
101,1993,3,7,28,7,47,2,0,13
101,1993,4,5,16,14,24,1,0,14
101,1994,1,4,17,5,10,1,0,9
101,1994,2,10,30,6,13,1,0,15
101,1994,3,5,21,8,17,1,0,10
101,1994,4,10,6,8,8,1,0,6
101,1995,1,5,20,7,12,1,0,7
101,1995,2,7,14,4,14,0,0,4
101,1995,3,6,15,3,19,0,0,4
101,1995,4,7,28,5,22,0,0,12
101,1996,1,5,10,5,14,2,1,9
101,1996,2,5,12,7,5,0,0,3
101,1996,3,7,11,4,11,0,1,9
101,1996,4,3,4,5,11,0,0,9
101,1997,1,6,11,20,8,0,0,5
101,1997,2,6,23,12,11,0,0,9
101,1997,3,5,7,17,12,0,1,15
101,1997,4,9,8,10,4,0,0,10
101,1998,1,12,5,7,13,0,0,6
101,1998,2,6,9,6,12,0,0,10
101,1998,3,8,10,5,9,1,0,4
101,1998,4,4,7,6,7,0,0,10
101,1999,1,6,9,4,11,1,0,1
101,1999,2,6,22,2,3,0,0,3
101,1999,3,3,10,2,7,0,0,7
101,1999,4,5,8,5,11,1,0,4
101,2000,1,7,15,3,5,0,0,4
101,2000,2,10,4,0,8,1,0,1
101,2000,3,6,8,3,6,1,0,1
101,2000,4,7,15,4,5,0,0,2
101,2001,1,5,17,6,11,1,0,1
101,2001,2,8,19,8,13,1,0,1
101,2001,3,2,13,5,13,0,0,3
101,2001,4,9,11,9,18,0,0,6
101,2002,1,4,23,4,13,0,0,2
101,2002,2,7,17,9,9,0,0,2
101,2002,3,4,8,5,14,2,1,9
101,2002,4,5,3,1,9,0,0,3
101,2003,1,7,16,2,8,0,0,2
101,2003,2,4,12,6,8,1,0,2
101,2003,3,8,23,6,11,0,1,7
101,2003,4,2,14,7,8,0,0,3
101,2004,1,9,12,4,15,0,0,1
101,2004,2,5,8,4,10,0,0,2
101,2004,3,12,12,2,10,0,0,1
101,2004,4,2,28,7,13,1,0,4
101,2005,1,10,22,5,34,0,0,7
101,2005,2,9,23,6,20,0,0,4
101,2005,3,1,18,4,9,0,0,0
101,2005,4,3,14,11,8,0,0,1
101,2006,1,7,11,4,19,0,0,1
101,2006,2,4,9,3,12,0,0,2
101,2006,3,2,5,5,7,0,0,1
101,2006,4,4,9,0,12,0,0,6
101,2007,1,3,9,2,9,0,0,4
101,2007,2,3,15,1,2,0,0,0
101,2007,3,3,7,3,7,0,0,1
101,2007,4,1,4,1,8,0,0,1
101,2008,1,3,11,3,12,1,0,0
101,2008,2,2,6,1,8,1,0,0
101,2008,3,5,9,4,8,0,0,3
101,2008,4,1,5,0,9,1,0,2
101,2009,1,1,10,1,6,0,0,0
101,2009,2,2,13,1,6,0,0,2
101,2009,3,0,9,3,8,0,0,1
101,2009,4,1,9,1,11,0,0,2
101,2010,1,1,11,2,3,0,0,5
101,2010,2,3,21,2,9,1,0,2
101,2010,3,3,10,3,9,0,0,2
101,2010,4,6,2,3,8,0,0,1
101,2011,1,1,6,0,8,1,0,3
101,2011,2,5,6,2,8,0,0,1
101,2011,3,2,6,2,0,2,0,2
101,2011,4,1,3,1,6,0,0,1
101,2012,1,6,4,4,9,2,0,0
101,2012,2,0,12,3,5,1,0,2
101,2012,3,0,5,4,3,3,0,3
101,2012,4,0,1,5,4,0,0,1
101,2013,1,2,4,3,1,1,0,0
101,2013,2,0,4,1,4,1,0,0
101,2013,3,0,4,1,1,0,0,1
101,2013,4,0,6,2,2,0,0,0
101,2014,1,3,11,1,1,1,0,2
101,2014,2,1,6,2,2,0,0,3
101,2014,3,5,11,0,3,2,0,1
101,2014,4,4,6,0,0,1,0,1
105,1988,1,3,9,4,7,2,0,0
105,1988,2,1,11,1,10,1,0,0
105,1988,3,1,14,4,11,0,0,0
105,1988,4,3,7,3,3,0,0,0
105,1989,1,0,7,6,6,2,0,4
