AGG,BTFV,BURG,GTA,GTP,HOM,ROBB,quarter,rd
9,12,4,16,0,0,1,2004Q1,101
2,9,2,6,0,0,2,2004Q1,105
12,23,17,17,4,0,11,2004Q1,111
0,5,0,1,0,0,0,2004Q1,112
3,7,4,4,0,0,6,2004Q1,119
0,2,0,1,0,0,0,2004Q1,121
0,1,0,0,0,0,0,2004Q1,122
2,0,1,0,0,0,2,2004Q1,123
0,2,1,0,0,0,1,2004Q1,124
1,3,0,0,0,0,0,2004Q1,127
1,8,0,1,0,0,2,2004Q1,128
2,8,1,1,0,0,0,2004Q1,129
1,16,2,4,0,0,0,2004Q1,131
2,4,0,6,0,0,2,2004Q1,132
2,1,1,2,0,0,2,2004Q1,133
3,4,0,4,3,0,2,2004Q1,134
8,5,0,0,1,0,5,2004Q1,135
9,7,4,2,0,0,11,2004Q1,138
2,6,0,3,0,0,1,2004Q1,139
0,2,1,1,0,0,0,2004Q1,141
1,5,3,1,1,0,0,2004Q1,142
3,2,2,3,1,0,3,2004Q1,143
5,1,1,1,0,0,1,2004Q1,144
3,1,0,2,1,0,4,2004Q1,145
4,1,0,1,2,0,5,2004Q1,146
2,4,0,2,0,0,6,2004Q1,147
11,4,0,1,1,0,6,2004Q1,148
0,1,2,1,1,0,0,2004Q1,151
6,6,9,1,1,0,5,2004Q1,152
10,3,3,3,2,1,17,2004Q1,153
9,1,3,1,0,0,4,2004Q1,154
8,2,0,2,5,0,6,2004Q1,155
17,4,4,1,2,0,13,2004Q1,156
9,2,2,4,1,0,10,2004Q1,157
10,6,1,5,0,0,5,2004Q1,158
2,14,2,8,1,0,5,2004Q1,159
2,5,3,2,0,0,2,2004Q1,161
10,6,6,6,2,0,8,2004Q1,162
2,0,3,2,1,0,5,2004Q1,163
7,6,5,1,0,0,9,2004Q1,164
1,1,0,0,1,0,0,2004Q1,165
11,4,1,3,0,0,10,2004Q1,166
2,9,1,1,0,0,1,2004Q1,171
8,4,1,1,2,0,13,2004Q1,174
4,13,10,2,2,0,9,2004Q1,176
1,19,1,6,0,0,0,2004Q1,181
8,42,5,14,2,0,6,2004Q1,182
6,18,15,4,8,0,11,2004Q1,185
1,4,0,9,0,0,1,2004Q1,191
6,28,2,17,0,0,2,2004Q1,192
3,13,12,7,2,0,8,2004Q1,195
8,10,3,12,1,0,5,2004Q1,211
18,16,4,13,1,0,9,2004Q1,212
3,12,5,14,1,0,4,2004Q1,213
4,11,8,11,1,0,6,2004Q1,214
1,13,4,9,0,0,2,2004Q1,215
6,11,3,12,0,0,5,2004Q1,217
6,18,3,6,0,0,4,2004Q1,219
11,21,3,16,0,0,8,2004Q1,221
6,14,2,8,0,0,5,2004Q1,222
4,4,3,5,0,0,3,2004Q1,224
11,9,4,11,0,0,6,2004Q1,231
7,13,4,11,0,0,3,2004Q1,232
9,22,7,14,0,0,16,2004Q1,233
14,35,3,14,0,0,6,2004Q1,234
3,15,2,9,0,0,2,2004Q1,235
6,11,1,11,0,0,10,2004Q1,236
8,20,9,15,0,1,1,2004Q1,237
16,6,3,4,0,0,0,2004Q1,238
3,0,0,0,0,0,0,2004Q1,239
14,23,9,15,3,0,11,2004Q1,241
11,32,14,13,0,0,7,2004Q1,242
11,30,10,20,1,0,15,2004Q1,243
7,30,5,10,1,0,4,2004Q1,244
23,21,5,17,2,1,20,2004Q1,245
14,10,6,2,0,0,12,2004Q1,246
7,4,2,7,0,0,4,2004Q1,247
5,7,5,8,0,0,9,2004Q1,249
6,13,6,10,1,0,11,2004Q1,251
5,10,5,6,0,0,3,2004Q1,252
4,6,6,9,0,0,12,2004Q1,256
4,13,7,9,0,0,13,2004Q1,257
19,6,3,7,0,2,10,2004Q1,264
17,3,5,9,0,0,5,2004Q1,266
8,5,2,5,1,0,8,2004Q1,267
12,13,11,6,0,0,10,2004Q1,269
0,0,0,0,0,0,1,2004Q1,271
8,15,6,17,0,0,8,2004Q1,275
11,8,4,5,0,0,6,2004Q1,276
3,11,4,5,0,0,4,2004Q1,279
4,7,1,8,0,0,10,2004Q1,281
12,4,1,15,0,0,5,2004Q1,282
5,5,5,7,1,0,5,2004Q1,286
4,1,4,3,1,0,3,2004Q1,289
4,9,1,8,0,0,5,2004Q1,291
3,2,0,4,0,0,1,2004Q1,292
3,4,5,7,1,0,2,2004Q1,299
2,7,0,2,0,0,0,2004Q1,301
0,5,2,1,0,0,1,2004Q1,303
2,5,2,1,2,0,4,2004Q1,305
1,3,0,0,0,0,0,2004Q1,307
15,9,12,12,0,0,1,2004Q1,311
7,21,11,9,0,1,4,2004Q1,312
7,2,3,6,0,0,1,2004Q1,313
10,8,6,15,0,2,4,2004Q1,314
12,10,2,5,0,0,4,2004Q1,315
14,17,9,14,0,0,2,2004Q1,316
9,16,3,7,0,0,1,2004Q1,317
