RD1988,RD2005,exact
100,NA,1
102,109,1
105,105,1
106,111;112;121,1
107,119,1
110,NA,1
111,111;112;121,1
112,111;112;121,1
114,111;112;121,1
118,122,1
122,131,1
124,132,1
125,123;133,1
127,124,1
128,127;128,1
129,129,1
131,141,1
132,142,1
133,134,1
136,135,1
138,138,1
139,139,1
141,151,1
143,143,1
144,144,1
145,145,1
146,146,1
147,147,1
148,148;158,1
152,152,1
153,153,1
154,154,1
155,155,1
156,156,1
157,157,1
158,148;158,1
159,159,1
164,164,1
165,165,1
166,166,1
171,161,1
172,162,1
174,163,1
176,174,1
177,176,1
181,171,1
182,181,1
184,182,1
185,185,1
192,191,1
194,192,1
195,195,1
200,NA,1
221,211,1
222,212,1
223,213,1
231,221,1
232,222,1
234,214;224,1
235,215,1
236,217,1
238,219,1
241,231,1
242,232,1
243,233,1
244,234,1
245,235,1
246,236,1
247,237,1
248,238,1
249,239,1
251,241,1
252,242,1
253,243,1
254,244,1
255,245,1
256,246;256,1
258,247;257,1
259,249,1
261,251;757,1
262,252;758,1
266,264;266;267,1
269,269,1
271,756,1
272,759;769,1
275,275,1
276,276,1
279,279,1
281,281,1
282,282,1
286,286,1
289,289,1
291,291,1
292,292,1
296,296,1
299,299,1
300,NA,1
309,309,1
311,305,1
312,307,1
313,313,1
314,314,1
315,315,1
316,316,1
317,317,1
318,318,1
319,319,1
326,326,1
327,327,1
328,328,1
329,329,1
331,331,1
332,332,1
333,333,1
334,334,1
335,335,1
336,336,1
337,337,1
338,338,1
351,351,1
353,353,1
354,354,1
355,355,1
356,356,1
357,357,1
358,358,1
359,359,1
361,361,1
362,362,1
363,363,1
373,373,1
374,374,1
375,375,1
376,376,1
377,377,1
378,378,1
391,391,1
393,393,1
394,394,1
395,395,1
397,397,1
398,398,1
399,399,1
400,NA,1
401,401,1
402,402,0
403,403,1
404,404;406;407,1
405,405,1
406,415;416,1
407,404;406;407,1
408,408,1
409,409,1
411,411,1
412,412,1
413,413,1
414,414,1
415,415;416,1
416,424,1
417,427,1
418,428,1
419,429,1
421,421,1
422,422,1
423,423,1
427,437,1
428,438,1
429,439,1
431,441,1
432,442,1
433,443,1
435,445,1
438,448,1
439,449,1
451,451,1
452,452,1
453,453,1
455,455,1
457,457,1
459,459,1
462,462,1
463,463,1
466,466,1
467,467,1
468,468,1
469,469,1
471,471,1
473,473,1
477,477,1
478,478,1
479,479,1
483,483,1
487,487,1
488,488,1
491,491,1
497,497,1
499,499,1
