RD1995,RD2005
100,NA
101,101
105,105
109,109
110,NA
111,111
112,112
119,119
121,121
122,122
123,123
124,124
127,127
128,128
129,129
131,131
132,132
133,133
134,134
135,135
138,138
139,139
141,141
142,142
143,143
144,144
145,145
146,146
147,147
148,148
151,151
152,152
153,153
154,154
155,155
156,156
157,157
158,158
159,159
161,161
162,162
163,163
164,164
165,165
166,166
171,171
174,174
176,176
181,181
182,182
185,185
191,191
192,192
195,195
200,NA
211,211
212,212
213,213
214,214
215,215
217,217
219,219
221,221
222,222
224,224
231,231
232,232
233,233
234,234
235,235
236,236
237,237
238,238
239,239
241,241
242,242
243,243
244,244
245,245
246,246
247,247
249,249
251,251
252,252
256,256
257,257
261,NA
262,NA
264,264
266,266
267,267
269,269
271,NA
272,NA
273,NA
275,275
276,276
279,279
281,281
282,282
286,286
289,289
291,291
292,292
296,296
299,299
300,NA
301,301
303,303
305,305
307,307
309,309
311,311
312,312
313,313
314,314
315,315
316,316
317,317
318,318
319,319
321,321
326,326
327,327
328,328
329,329
331,331
332,332
333,333
334,334
335,335
336,336
337,337
338,338
341,341
343,343
351,351
353,353
354,354
355,355
356,356
357,357
358,358
359,359
361,361
362,362
363,363
373,373
374,374
375,375
376,376
377,377
378,378
391,391
392,392
393,393
394,394
395,395
397,397
398,398
399,399
600,NA
604,604
609,609
615,615
621,621
622,622
625,625
626,626
627,627
628,628
629,629
631,631
632,632
635,635
636,636
637,637
638,638
639,639
642,642
643,643
644,644
645,645
646,646
647,647
649,649
665,665
666,666
667,667
668,668
669,669
671,671
672,672
674,674
675,NA
676,676
677,677
678,678
679,679
691,691
692,692
693,693
694,694
695,NA
696,NA
697,697
699,699
700,NA
701,701
702,702
703,703
704,704
705,705
706,706
707,707
708,708
709,709
711,711
714,714
715,715
716,716
717,717
718,718
719,719
721,721
722,722
723,723
724,724
725,725
726,726
727,727
728,728
729,729
731,731
732,732
733,733
734,734
735,735
736,736
737,737
738,738
739,739
741,741
742,742
743,743
745,745
746,746
747,747
748,748
749,749
754,754
755,755
756,756
757,757
758,758
759,759
761,761
762,762
763,763
764,764
765,765
766,766
767,767
768,768
769,769
771,771
772,772
773,773
774,774
775,775
776,776
777,777
778,778
779,779
781,NA
782,782
783,783
784,784
785,785
786,786
787,787
788,788
789,789
791,NA
793,NA
794,NA
795,NA
796,NA
797,NA
1100,NA
1101,1101
1102,1102
1105,1105
1109,1109
1112,1112
1113,1113
1115,1115
1117,1117
1119,1119
1122,1122
1123,1123
1124,1124
1125,1125
1126,1126
1127,1127
1128,1128
1129,1129
1132,1132
1133,1133
1134,1134
1135,1135
1136,1136
1137,1137
1138,1138
1139,1139
1141,1141
1142,1142
1143,1143
1144,1144
1145,1145
1146,1146
1147,1147
1148,1148
1149,1149
1151,1151
1152,1152
1153,1153
1157,1157
1158,1158
1159,1159
1161,1161
1162,1162
1171,1171
1172,1172
1173,1173
1174,1174
1175,1175
1176,1176
1177,1177
1179,1179
1181,1181
1184,1184
1185,1185
1186,1186
1189,1189
1194,NA
1195,1195
1199,1199
1200,NA
1201,NA
1203,1203
1204,1204
1205,1205
1208,1208
1209,1209
1211,1211
1213,1213
1215,1215
1218,1218
1219,1219
1231,1231
1232,1232
1233,1233
1235,1235
1239,1239
1241,1241
1242,1242
1243,1243
1245,1245
1248,1248
1249,1249
1251,1251
1252,1252
1253,1253
1255,1255
1256,1256
1258,1258
1259,1259
1263,1263
1265,1265
1266,1266
1268,1268
1269,1269
1273,1273
1283,1283
1293,1293
