RD2007,RD2005,exact,
100,NA,,
101,101,,
105,105,,
109,109,,
110,NA,,
111,111,,
112,112,,
118,119,,
119,119,,
121,121,,
122,122,,
123,123,,
124,124,,
127,127,,
128,128,,
129,129,,
131,131,,
132,132,,
133,133,,
134,134,,
135,135,,
138,138,,
139,139,0,
141,141,,
142,142,,
143,143,,
144,144,,
145,145,,
146,146,,
147,147,,
148,148,,
151,151,,
152,152,,
153,153,,
154,154,,
155,155,,
156,156,,
157,157,,
158,158,,
159,159,,
161,161,,
162,162,,
163,163,,
164,164,,
165,165,,
166,166,,
171,171,,
174,174,,
176,176,,
181,181,,
182,182,,
185,185,,
191,191,,
192,192,,
195,195,,
201,NA,,
202,NA,,
203,NA,,
204,NA,,
205,NA,,
211,211,,
212,212,,
213,213,,
214,214,,
215,215,,
216,212,,
217,217,,
218,215,,
219,219,,
221,221,,
222,222,,
223,221,,
224,224,,
225,232,,
226,234,,
227,241,,
228,244,,
231,231,,
232,232,,
233,233,,
234,234,,
235,235,,
236,236,,
237,237,,
238,238,,
239,239,,
241,241,,
242,242,,
243,243,,
244,244,,
245,245,,
246,246,,
247,247,,
248,246,,
249,249,,
251,251,,
252,252,,
253,251,,
254,252,,
256,256,,
257,257,,
261,NA,,
264,264,,
265,NA,,
266,266,,
267,267,,
269,269,,
271,NA,,
272,NA,,
274,275,,
275,275,,
276,276,,
277,276,,
279,279,,
281,281,,
282,282,,
283,282,,
284,286,,
285,NA,,
286,286,,
289,289,,
291,291,,
292,292,,
295,NA,,
296,296,,
299,299,,
301,301,,
303,303,,
305,305,,
307,307,,
308,319,,
309,309,,
311,311,,
312,312,,
313,313,,
314,314,,
315,315,,
316,316,,
317,317,,
318,318,,
319,319,,
321,321,,
325,327,,
326,326,,
327,327,,
328,328,,
329,329,,
331,331,,
332,332,,
333,333,,
334,334,,
335,335,,
336,336,,
337,337,,
338,338,,
341,341,,
343,343,,
351,351,,
353,353,,
354,354,,
355,355,,
356,356,,
357,357,,
358,358,,
359,359,,
361,361,,
362,362,,
363,363,,
373,373,,
374,374,,
375,375,,
376,376,,
377,377,,
378,378,,
379,377,,
391,391,,
392,392,,
393,393,,
394,394,,
395,395,,
396,398,,
397,397,,
398,398,,
399,399,,
400,NA,,
401,401,,
402,402,,
403,403,,
404,404,,
405,405,,
406,406,,
407,407,,
408,408,,
409,409,0,
411,411,,
412,412,,
413,413,,
414,414,,
415,415,,
416,416,,
417,424,,
418,409,0,
421,421,,
422,422,,
423,423,,
424,424,,
426,428,,
427,427,,
428,428,,
429,429,,
437,437,,
438,438,,
439,439,,
441,441,,
442,442,,
443,443,,
445,445,,
448,448,,
449,449,,
451,451,,
452,452,,
453,453,,
454,462,,
455,455,,
456,457,,
457,457,,
459,459,,
461,471,,
462,462,,
463,463,,
464,463,,
465,468,,
466,466,,
467,467,,
468,468,,
469,469,,
471,471,,
473,473,,
477,477,,
478,478,,
479,479,,
483,483,,
487,487,,
488,488,,
489,497,,
491,491,,
497,497,,
499,499,,
500,NA,,
501,501,,
502,502,,
503,513,,
504,504,,
505,505,,
506,506,,
507,507,,
508,508,,
509,509,,
511,511,,
512,512,,
513,513,,
514,514,,
515,515,,
516,516,,
517,517,,
518,519,,
519,519,,
521,521,,
522,525,,
523,523,,
524,524,,
525,525,,
526,525,,
527,527,,
528,517,,
529,529,,
531,511,,
532,516,,
541,541,,
551,551,,
555,555,,
557,557,,
558,558,,
559,559,,
561,561,,
562,562,,
563,563,,
564,558,,
565,565,,
566,567,,
567,567,,
569,569,,
581,581,,
583,583,,
584,584,,
585,585,,
587,587,,
589,589,,
599,599,,
600,NA,,
604,604,,
609,609,,
615,615,,
621,621,,
622,622,,
625,625,,
626,626,,
627,627,,
628,628,,
629,629,,
631,631,,
632,632,,
635,635,,
636,636,,
637,637,,
638,638,,
639,639,,
642,642,,
643,643,,
644,644,,
645,645,,
646,646,,
647,647,,
648,649,,
649,649,,
656,676,,
657,677,,
659,669,,
665,665,,
666,666,,
667,667,,
668,668,,
669,669,,
671,671,,
672,672,,
674,674,,
676,676,,
677,677,,
678,678,,
679,679,,
691,691,,
692,692,,
693,693,,
694,694,,
695,NA,,
696,697,,
697,697,,
698,699,,
699,699,,
700,NA,700,NA
701,701,701,671
702,702,702,672
703,703,,
704,704,,
705,705,705,674
706,706,706,706
707,707,707,NA
708,708,708,NA
709,709,,
711,711,711,691
713,NA,713,692
714,714,714,693
715,715,715,694
716,716,,
717,717,717,716
718,718,,
719,719,719,707
721,721,721,701
722,722,722,711
723,723,723,702
724,724,724,703
725,725,725,704
726,726,726,705
727,727,727,717
728,728,728,NA
729,729,729,718
731,731,731,NA
732,732,732,721
733,733,733,722
734,734,734,714
735,735,735,723
736,736,736,715
737,737,737,724
738,738,738,725
739,739,739,726
741,741,,
742,742,742,731
743,743,743,732
745,745,745,733
746,746,746,NA
747,747,747,734
748,748,748,NA
749,749,749,735
752,NA,752,741
753,NA,753,742
754,754,,
755,755,755,743
756,756,756,NA
757,757,757,NA
758,758,758,745
759,759,759,746
761,761,,
762,762,762,761
763,763,763,762
764,764,764,763
765,765,765,764
766,766,766,765
767,767,767,766
768,768,,
769,769,769,766
771,771,771,NA
772,772,772,NA
773,773,773,772
774,774,774,773
775,775,775,774
776,776,776,774
777,777,777,775
778,778,778,776
779,779,779,776
782,782,782,771
783,783,783,782
784,784,784,783
785,785,785,784
786,786,,
787,787,787,785
788,788,788,786
789,789,789,787
792,774,,
793,766,,
794,776,,
795,737,,
796,739,,
797,757,,
798,709,,
799,756,,
801,801,,
802,802,,
803,803,,
804,804,,
805,805,,
806,806,,
807,807,,
808,808,,
809,809,,
811,811,,
812,812,,
813,813,,
814,814,,
815,815,,
816,816,,
817,817,,
818,818,,
819,819,,
821,821,,
822,822,,
823,823,,
824,824,,
825,825,,
826,826,,
827,827,,
828,828,,
829,829,,
831,831,,
832,832,,
833,833,,
834,834,,
835,835,,
836,836,,
837,816,,
838,816,,
839,839,,
841,841,,
842,842,,
843,805,,
847,847,,
848,848,,
849,849,,
851,851,,
852,852,,
853,853,,
854,854,,
855,833,,
857,857,,
858,858,,
859,859,,
861,821,,
871,821,,
872,821,,
881,881,,
882,882,,
883,883,,
884,884,,
885,885,,
886,886,,
887,887,,
889,889,,
891,891,,
892,892,,
893,893,,
895,895,,
896,896,,
897,897,,
898,898,,
899,899,,
900,NA,,
901,901,,
902,902,,
904,NA,,
905,NA,,
906,NA,,
909,NA,,
911,911,,
914,NA,,
915,NA,,
916,925,,
917,936,,
919,NA,,
921,921,,
922,922,,
923,923,,
924,924,,
925,925,,
926,926,,
927,927,,
928,946,,
929,948,,
931,931,,
932,932,,
933,NA,,
934,934,,
935,935,,
936,936,,
937,937,,
938,938,,
939,NA,,
941,941,,
942,942,,
943,NA,,
944,944,,
945,945,,
946,946,,
948,948,,
949,NA,,
951,951,,
952,952,,
953,957,,
954,957,,
955,955,,
956,956,,
957,957,,
958,958,,
959,958,,
961,961,,
962,962,,
963,963,,
964,964,,
965,965,,
966,966,,
967,975,,
968,968,,
969,969,,
971,973,,
972,972,,
973,973,,
974,974,,
975,975,,
976,976,,
977,977,,
978,978,,
979,979,,
981,NA,,
983,983,,
984,984,,
985,NA,,
986,986,,
988,988,,
989,989,,
994,NA,,
995,995,,
998,998,,
999,999,,
1001,NA,,
1002,1004,,
1003,1004,,
1004,1004,,
1005,1005,,
1006,1006,,
1007,1007,,
1008,1008,,
1009,1027,,
1011,1011,,
1012,1012,,
1013,1013,,
1014,1014,,
1015,1015,,
1016,1016,,
1017,1017,,
1018,NA,,
1019,NA,,
1021,1021,,
1022,1022,,
1023,1006,,
1024,1024,,
1025,1025,,
1026,1026,,
1027,1027,,
1028,1028,,
1029,1025,,
1031,NA,,
1032,1032,,
1033,1033,,
1034,1034,,
1035,1035,,
1036,1036,,
1037,1037,,
1038,1038,,
1039,NA,,
1041,NA,,
1042,1042,,
1043,1043,,
1044,1044,,
1045,1045,,
1046,1046,,
1047,1047,,
1048,1048,,
1049,1049,,
1051,1051,,
1052,1052,,
1053,1053,,
1054,1054,,
1055,1055,,
1056,1056,,
1057,1057,,
1058,1058,,
1059,1059,,
1061,1061,,
1062,1062,,
1063,1063,,
1064,1064,,
1065,1065,,
1066,1066,,
1067,1067,,
1068,1068,,
1069,1069,,
1071,1071,,
1072,1072,,
1073,1073,,
1075,1075,,
1076,1076,,
1077,1077,,
1078,1078,,
1079,1079,,
1081,1081,,
1082,1082,,
1083,1083,,
1084,1084,,
1085,1085,,
1086,1086,,
1087,1087,,
1088,1088,,
1089,1089,,
1091,1091,,
1092,1092,,
1094,1094,,
1095,1095,,
1096,1096,,
1097,1097,,
1098,1098,,
1099,1099,,
1100,NA,,
1101,1101,,
1102,1102,,
1105,1105,,
1107,1127,,
1109,1109,,
1112,1112,,
1113,1113,,
1115,1115,,
1116,1137,,
1117,1117,,
1118,1138,,
1119,1119,,
1122,1122,,
1123,1123,,
1124,1124,,
1125,1125,,
1126,1126,,
1127,1127,,
1128,1128,,
1129,1129,,
1132,1132,,
1133,1133,,
1134,1134,,
1135,1135,,
1136,1136,,
1137,1137,,
1138,1138,,
1139,1139,,
1141,1141,,
1142,1142,,
1143,1143,,
1144,1144,,
1145,1145,,
1146,1146,,
1147,1147,,
1148,1148,,
1149,1149,,
1151,1151,,
1152,1152,,
1153,1153,,
1157,1157,,
1158,1158,,
1159,1159,,
1161,1161,,
1162,1162,,
1163,1161,,
1169,1149,,
1171,1171,,
1172,1172,,
1173,1173,,
1174,1174,,
1175,1175,,
1176,1176,,
1177,1177,,
1178,1177,,
1179,1179,,
1181,1181,,
1183,1173,,
1184,1184,,
1185,1185,,
1186,1186,,
1189,1189,,
1195,1195,,
1199,1199,,
1200,NA,,
1201,NA,,
1203,1203,,
1204,1204,,
1205,1205,,
1207,1208,,
1208,1208,,
1209,1209,,
1211,1211,,
1213,1213,,
1215,1215,,
1218,1218,,
1219,1219,,
1231,1231,,
1232,1232,,
1233,1233,,
1235,1235,,
1239,1239,,
1241,1241,,
1242,1242,,
1243,1243,,
1245,1245,,
1248,1248,,
1249,1249,,
1251,1251,,
1252,1252,,
1253,1253,,
1255,1255,,
1256,1256,,
1257,1256,,
1258,1258,,
1259,1259,,
1263,1263,,
1265,1265,,
1266,1266,,
1267,1266,,
1268,1268,,
1269,1269,,
1273,1273,,
1283,1283,,
1293,1293,,
1300,NA,,
1303,1303,,
1307,1307,,
1309,1309,,
1311,1311,,
1313,1313,,
1317,1317,,
1321,1321,,
1322,1323,,
1323,1323,,
1324,1325,,
1325,1325,,
1326,1327,,
1327,1327,,
1331,1331,,
1333,1333,,
1341,1341,,
1342,1342,,
1343,1343,,
1344,1343,,
1345,1345,,
1346,1345,,
1347,1347,,
1351,1351,,
1352,1352,,
1353,1353,,
1354,1342,,
1361,1361,,
1362,1362,,
1363,1363,,
1364,1365,,
1365,1365,,
1367,1367,,
1371,1371,,
1372,1373,,
1373,1373,,
1375,1375,,
1377,1377,,
1381,1381,,
1383,1383,,
1385,1385,,
1391,1391,,
1393,1393,,
1394,1393,,
1395,1395,,
1400,NA,,
1401,1401,,
1402,1402,,
1403,1403,,
1405,1405,,
1406,1406,,
1407,1407,,
1408,1408,,
1409,1409,,
1411,1411,,
1412,1412,,
1413,1413,,
1414,1414,,
1415,1415,,
1416,1416,,
1424,1424,,
1425,1425,,
1426,1426,,
1427,1427,,
1428,1428,,
1431,1431,,
1432,1432,,
1433,1433,,
1434,1434,,
1435,1435,,
1436,1436,,
1437,1437,,
1438,1438,,
1441,1441,,
1443,1443,,
1444,1444,,
1445,1445,,
1446,1446,,
1449,1449,,
1451,1451,,
1452,1452,,
1453,1453,,
1454,1454,,
1455,1455,,
1456,1456,,
1457,1457,,
1458,1458,,
1459,1459,,
1462,1462,,
1463,1463,,
1464,1464,,
1465,1465,,
1466,1466,,
1467,1467,,
1468,1457,,
1469,1469,,
1471,1471,,
1472,1472,,
1473,1473,,
1474,1474,,
1475,1475,,
1476,1476,,
1477,1477,,
1479,1479,,
1483,1483,,
1484,1484,,
1485,1485,,
1486,1486,,
1487,1487,,
1488,1488,,
1489,1489,,
1491,1491,,
1492,1492,,
1493,1493,,
1494,1494,,
1495,1495,,
1496,1496,,
1497,1497,,
1498,1498,,
1499,1499,,
1500,NA,,
1501,1501,,
1502,1502,,
1503,1503,,
1504,1504,,
1505,1505,,
1506,1506,,
1507,1507,,
1508,1508,,
1509,1509,,
1511,1511,,
1512,1512,,
1513,1513,,
1514,1514,,
1515,1515,,
1516,1516,,
1517,1518,,
1518,1518,,
1519,1519,,
1521,1521,,
1522,1522,,
1523,1523,,
1524,1524,,
1525,1523,,
1526,1526,,
1527,1527,,
1528,1528,,
1529,1529,,
1531,1531,,
1532,1532,,
1533,1533,,
1534,1534,,
1535,1516,,
1536,1506,,
1537,1537,,
1538,1538,,
1539,1539,,
1541,NA,,
1542,1542,,
1543,1543,,
1544,1544,,
1545,1545,,
1546,1546,,
1547,1547,,
1548,1549,,
1549,1549,,
1551,1522,,
1552,1503,,
1553,1553,,
1554,1514,,
1555,1555,,
1557,1557,,
1558,1558,,
1559,1559,,
1562,1562,,
1563,1515,,
1564,1529,,
1565,1565,,
1566,1566,,
1567,1567,,
1568,1568,,
1569,1569,,
1581,1581,,
1583,NA,,
1585,1585,,
1586,1586,,
1588,1588,,
1589,1589,,
1591,NA,,
1592,1592,,
1595,1595,,
1596,1596,,
1599,1599,,
1601,NA,,
1602,NA,,
1605,NA,,
1606,NA,,
1607,NA,,
1608,NA,,
1611,NA,,
1612,NA,,
1615,NA,,
1616,NA,,
1617,NA,,
1618,NA,,
