RD2014,RD2005,merge,exact
100,NA,0,1
101,101,0,
105,105,0,
109,109,0,
111,111,0,
112,112,0,
118,119,1,1
119,119,1,0
121,121,0,
122,122,0,
123,123,0,
124,124,0,
127,127,0,
128,128,0,
129,129,0,0
131,131,0,
132,132,0,
133,133,0,
134,134,0,
135,135,0,
138,138,0,
139,139,0,0
141,141,0,
142,142,0,
143,143,0,
144,144,0,
145,145,0,
146,146,0,
147,147,0,
148,148,0,
151,151,0,
152,152,0,
153,153,0,
154,154,0,
155,155,0,
156,156,0,
157,157,0,
158,158,0,
159,159,0,0
161,161,0,
162,162,0,
163,163,0,
164,164,0,
165,165,0,
166,166,0,
171,171,0,
174,174,0,
176,176,0,
181,181,0,
182,182,0,
185,185,0,
191,191,0,
192,192,0,
195,195,0,
201,211,0,1
202,212,1,1
203,212,1,1
204,213,0,1
205,214,0,1
211,221,1,1
212,222,0,1
213,NA,0,1
214,NA,0,1
215,224,0,1
216,215,1,1
217,215,1,1
218,219,0,1
219,219,0,1
221,221,1,1
222,NA,0,1
223,NA,0,1
224,224,0,1
231,234,1,1
233,234,1,1
234,234,0,1
235,235,0,1
236,236,0,1
237,237,0,1
238,238,0,1
239,239,0,1
241,244,1,1
242,NA,0,1
243,NA,0,1
244,NA,0,1
245,245,0,1
246,246,1,1
247,246,1,1
248,247,0,1
249,249,0,1
251,244,1,1
256,256,0,1
257,257,0,1
261,264,0,1
264,NA,0,1
265,266,0,1
266,267,0,1
267,NA,0,1
269,269,0,1
271,275,1,1
275,275,1,1
279,279,0,1
281,276,1,1
283,NA,0,1
284,NA,0,1
285,276,1,1
289,289,0,1
291,286,1,1
292,296,0,1
295,286,1,1
299,299,0,1
301,301,0,
303,303,0,
305,305,0,
307,307,0,
308,319,1,
309,309,0,
311,311,0,
312,312,0,
313,313,0,
314,314,0,
315,315,0,
316,316,0,
317,317,0,
318,318,0,
319,319,1,
321,321,0,
325,327,1,
326,326,0,
327,327,1,
328,328,0,
329,329,0,
331,331,0,
332,332,0,
333,333,0,
334,334,0,
335,335,0,
336,336,0,
337,337,0,
338,338,0,
341,341,0,0
343,343,0,
351,351,0,
353,353,0,
354,354,0,
355,355,0,
356,356,0,
357,357,0,
358,358,0,
359,359,0,
361,361,0,
362,362,0,
363,363,0,
373,373,0,
374,374,0,
375,375,0,
376,376,0,
377,377,1,
378,378,0,
379,377,1,
391,391,0,
392,392,0,
393,393,0,
394,394,0,
395,395,0,
396,398,1,
397,397,0,
398,398,1,
399,399,0,
400,NA,0,
401,401,0,
402,402,0,0
403,403,0,0
404,404,0,
405,405,0,
406,406,0,
407,407,0,0
408,408,0,
409,409,1,
411,411,0,
412,412,0,
413,413,0,
414,414,0,
415,415,0,
416,416,0,
417,424,1,
418,409,1,0
421,421,0,
422,422,0,
423,423,0,
424,424,1,
426,428,1,
427,427,0,
428,428,1,
429,429,0,
437,437,0,
438,438,0,
439,439,0,
441,441,0,
442,442,0,
443,443,0,
445,445,0,
448,448,0,
449,449,0,
451,451,0,
452,452,0,
453,453,0,
454,462,1,
455,455,0,
456,457,1,
457,457,1,
459,459,0,
461,471,1,
462,462,1,
463,463,1,
464,463,1,
465,468,1,
466,466,0,
467,467,0,
468,468,1,
469,469,0,
471,471,1,
473,473,0,
477,477,0,
478,478,0,
479,479,0,
483,483,0,
487,487,0,
488,488,0,
489,497,1,
491,491,0,
497,497,1,
499,499,0,
500,NA,0,
501,501,0,
502,502,0,
503,513,1,
504,504,0,
505,505,0,
506,506,0,
507,507,0,
508,508,0,
509,509,0,
511,511,1,
512,512,0,
513,513,1,
514,514,0,
515,515,0,
516,516,1,
517,517,1,
518,519,1,
519,519,1,
521,521,0,
522,525,1,
523,523,0,
524,524,0,
525,525,1,
526,525,1,
527,527,0,
528,517,1,
529,529,0,
531,511,1,
532,516,1,
541,541,0,
551,551,0,
555,555,0,
557,557,0,
558,558,0,
559,559,0,
561,561,0,
562,562,0,
563,563,0,
564,558,1,
565,565,0,
566,567,1,
567,567,1,
569,569,0,
581,581,0,
583,583,0,
584,584,0,
585,585,0,
587,587,0,
589,589,0,
599,599,0,
600,NA,0,
609,NA,0,
615,615,0,
621,621,0,
622,622,0,
625,625,0,
626,626,0,
627,627,0,
628,628,0,
629,629,0,
631,631,0,
632,632,0,
635,635,0,
636,636,0,
637,637,0,
638,638,0,
639,639,0,
642,642,0,
643,643,0,
644,644,0,
645,645,0,
646,646,0,
647,647,0,
648,649,1,
649,649,1,
656,676,1,
657,677,1,
659,669,1,
663,665,0,
665,665,0,
666,666,0,
667,667,0,
668,668,0,
669,669,1,
676,676,1,
677,677,1,
678,678,0,
679,679,0,
696,NA,0,
700,NA,0,
701,671,0,
702,672,0,
705,674,0,
706,706,0,
707,NA,0,
708,NA,0,
711,691,0,
713,692,0,
714,693,0,
715,694,0,
717,716,0,
719,707,0,
721,701,0,
722,711,0,
723,702,0,
724,703,0,
725,704,0,
726,705,0,
727,717,0,
728,NA,0,
729,718,0,
731,NA,0,
732,721,0,
733,722,0,
734,714,0,
735,723,0,
736,715,0,
737,724,0,
738,725,0,
739,726,0,
742,731,0,
743,732,0,
745,733,0,
746,NA,0,
747,734,0,
748,NA,0,
749,735,0,
752,741,0,
753,742,0,
755,743,0,
756,NA,0,
757,NA,0,
758,745,0,
759,746,0,
762,761,0,
763,762,0,
764,763,0,
765,764,0,
766,765,0,
767,766,1,
769,766,1,
771,NA,0,
772,NA,0,
773,772,0,
774,773,0,
775,774,1,
776,774,1,
777,775,0,
778,776,1,
779,776,1,
782,771,0,
783,782,0,
784,783,0,
785,784,0,
787,785,0,
788,786,0,
789,787,0,
800,NA,0,
801,801,0,
802,802,0,
803,803,0,
804,804,0,
805,805,1,
806,806,0,
807,807,0,
808,808,0,
809,809,0,
811,811,0,
812,812,0,
813,813,0,
814,814,0,0
815,815,0,
816,816,1,
817,817,0,
818,818,0,
819,819,0,
821,821,1,
822,822,0,
823,823,0,
824,824,0,
825,825,0,
826,826,0,
827,827,0,
828,828,0,
829,829,0,
831,831,0,
832,832,0,
833,833,1,
834,834,0,
835,835,0,
836,836,0,
837,816,1,
838,816,1,
839,839,0,
841,841,0,
842,842,0,
843,805,1,
847,847,0,
848,848,0,
849,849,0,
851,851,0,
852,852,0,
853,853,0,
854,854,0,
855,833,1,
857,857,0,
858,858,0,
859,859,0,
861,821,1,
871,821,1,
872,821,1,
881,881,0,
882,882,0,
883,883,0,
884,884,0,
885,885,0,
886,886,0,
887,887,0,
889,889,0,
891,891,0,
892,892,0,
893,893,0,
895,895,0,
896,896,0,
897,897,0,
898,898,0,
899,899,0,
900,NA,0,
901,935,0,
902,NA,0,
904,936,1,
905,936,1,
906,937,0,
909,938,0,
911,944,0,
914,945,0,
915,946,1,
916,946,1,
917,NA,0,
919,948,1,
923,955,0,
926,956,0,
927,NA,0,
928,NA,0,
929,948,1,
931,957,1,
932,957,1,
933,957,1,
935,958,1,
936,NA,0,
937,958,1,
938,966,0,
939,969,0,
941,962,0,
942,NA,0,
943,964,0,
945,NA,0,
946,965,0,
948,968,0,
952,963,0,
955,975,1,
956,NA,0,
957,975,1,
958,NA,0,
961,973,1,
963,972,0,
964,976,0,
966,977,0,
969,979,0,
971,973,1,
974,974,0,
976,989,0,
977,NA,0,
979,978,0,
981,983,0,
983,NA,0,
984,984,0,
985,986,0,
989,988,0,
991,995,0,
994,998,0,
998,999,0,
1000,NA,0,
1001,1008,0,
1003,1027,1,
1004,1016,0,
1005,1017,0,
1006,901,0,
1007,911,0,
1008,922,0,
1009,902,0,
1011,1026,0,
1012,1027,1,
1013,NA,0,
1014,NA,0,
1015,1028,0,
1017,921,0,
1018,932,0,
1019,934,0,
1021,1035,0,
1023,1036,0,
1024,1037,0,
1025,1038,0,
1027,931,0,
1028,941,0,
1029,942,0,
1031,1045,0,
1032,NA,0,
1033,1046,0,
1034,1049,0,
1035,1047,0,
1036,NA,0,
1037,951,0,
1038,NA,0,
1039,952,0,
1041,1066,0,
1042,NA,0,
1043,1048,0,
1044,1067,0,
1045,1068,0,
1047,1059,0,
1049,961,0,
1061,1084,0,
1063,1085,0,
1065,1076,0,
1066,NA,0,
1067,1077,0,
1068,1069,0,
1075,1086,0,
1077,1087,0,
1078,1078,0,
1079,1079,0,
1081,NA,0,
1083,1095,0,
1088,1088,0,
1089,1089,0,
1091,1094,0,
1094,1096,0,0
1095,NA,0,
1097,1097,0,
1098,1098,0,
1099,1099,0,
1101,1101,0,
1102,1102,0,
1105,1105,0,
1107,1127,1,
1109,1109,0,
1112,1112,0,
1113,1113,0,
1115,1115,0,
1116,1137,1,
1117,1117,0,
1118,1138,1,
1119,1119,0,
1122,1122,0,
1123,1123,0,
1124,1124,0,
1125,1125,0,
1126,1126,0,
1127,1127,1,
1128,1128,0,
1129,1129,0,
1132,1132,0,
1133,1133,0,
1134,1134,0,
1135,1135,0,
1136,1136,0,
1137,1137,1,
1138,1138,1,
1139,1139,0,
1141,1141,0,
1142,1142,0,
1143,1143,0,
1144,1144,0,
1145,1145,0,
1146,1146,0,
1147,1147,0,
1148,1148,0,
1149,1149,1,
1151,1151,0,
1152,1152,0,
1153,1153,0,
1157,1157,0,
1158,1158,0,
1159,1159,0,
1161,1161,1,
1162,1162,0,
1163,1161,1,
1169,1149,1,
1171,1171,0,
1172,1172,0,
1173,1173,1,
1174,1174,0,
1175,1175,0,
1176,1176,0,
1177,1177,1,
1178,1177,1,
1179,1179,0,
1181,1181,0,
1183,1173,1,
1184,1184,0,
1185,1185,0,
1186,1186,0,
1189,1189,0,
1195,1195,0,
1199,1199,0,
1203,1203,0,
1204,1204,0,
1205,1205,0,
1207,1208,1,
1208,1208,1,
1209,1209,0,
1211,1211,0,
1213,1213,0,
1215,1215,0,
1218,1218,0,
1219,1219,0,
1231,1231,0,
1232,1232,0,
1233,1233,0,
1235,1235,0,
1239,1239,0,
1241,1241,0,
1242,1242,0,
1243,1243,0,
1245,1245,0,
1248,1248,0,
1249,1249,0,
1251,1251,0,
1252,1252,0,
1253,1253,0,
1255,1255,0,
1256,1256,1,
1257,1256,1,
1258,1258,0,
1259,1259,0,
1263,1263,0,
1265,1265,0,
1266,1266,0,
1267,1266,0,
1268,1268,0,
1269,1269,0,
1273,1273,0,
1283,1283,0,
1293,1293,0,
1303,1303,0,
1307,1307,0,
1309,1309,0,
1311,1311,0,
1313,1313,0,
1317,1317,0,
1321,1321,0,
1322,1323,1,
1323,1323,1,
1324,1325,1,
1325,1325,1,
1326,1327,1,
1327,1327,1,
1331,1331,0,
1333,1333,0,
1341,1341,0,
1342,1342,1,
1343,1343,1,
1344,1343,1,
1345,1345,1,
1346,1345,1,
1347,1347,0,
1351,1351,0,
1352,1352,0,
1353,1353,0,
1354,1342,1,
1361,1361,0,
1362,1362,0,
1363,1363,0,
1364,1365,1,
1365,1365,1,
1367,1367,0,
1371,1371,0,
1372,1373,0,
1373,1373,0,
1375,1375,0,
1377,1377,0,
1381,1381,0,
1383,1383,0,
1385,1385,0,
1391,1391,0,
1393,1393,1,
1394,1393,1,
1395,1395,0,
1400,NA,0,
1401,1401,0,
1402,1402,0,
1403,1403,0,
1405,1405,0,
1406,1406,0,
1407,1407,0,
1408,1408,0,
1409,1409,0,
1411,1411,0,
1412,1412,0,
1413,1413,0,
1414,1414,0,
1415,1415,0,
1416,1416,0,
1424,1424,0,
1425,1425,0,
1426,1426,0,
1427,1427,0,
1428,1428,0,
1431,1431,0,
1432,1432,0,
1433,1433,0,
1434,1434,0,
1435,1435,0,
1436,1436,0,
1437,1437,0,
1438,1438,0,
1441,1441,0,
1443,1443,0,
1444,1444,0,
1445,1445,0,
1446,1446,0,
1449,1449,0,
1451,1451,0,
1452,1452,0,
1453,1453,0,
1454,1454,0,
1455,1455,0,
1456,1456,0,
1457,1457,1,
1458,1458,0,
1459,1459,0,
1462,1462,0,
1463,1463,0,
1464,1464,0,
1465,1465,0,
1466,1466,0,
1467,1467,0,
1468,1457,1,
1469,1469,0,
1471,1471,0,
1472,1472,0,
1473,1473,0,
1474,1474,0,
1475,1475,0,
1476,1476,0,
1477,1477,0,
1479,1479,0,
1483,1483,0,
1484,1484,0,
1485,1485,0,
1486,1486,0,
1487,1487,0,
1488,1488,0,
1489,1489,0,
1491,1491,0,
1492,1492,0,
1493,1493,0,
1494,1494,0,
1495,1495,0,
1496,1496,0,
1497,1497,0,
1498,1498,0,
1499,1499,0,
1500,NA,0,
1501,1511,0,
1502,1512,0,
1503,1513,0,
1504,1516,0,
1505,1516,0,
1506,1518,1,
1507,NA,0,
1508,1518,1,
1509,1519,0,
1511,1521,0,
1512,1523,1,
1513,1523,1,
1514,1514,1,
1515,1514,1,
1516,1515,1,
1517,1515,1,
1519,1529,1,
1521,1522,1,
1522,1522,1,
1523,1534,0,
1524,1524,0,
1525,1526,0,
1526,1527,0,
1527,1528,0,
1529,1529,1,
1531,1531,0,
1532,1532,0,
1533,1533,0,
1535,1537,0,
1538,1538,0,
1539,1539,0,
1541,1542,0,
1542,NA,0,
1543,1543,0,
1544,1544,0,
1545,1545,0,
1546,1546,0,
1547,1547,0,
1548,1549,0,
1549,1549,0,
1551,1553,0,
1552,NA,0,
1553,1555,0,
1555,1557,0,
1557,1558,0,
1559,1559,0,
1562,1562,0,
1563,1565,0,
1564,NA,0,
1565,1566,0,
1566,1567,0,
1567,1568,0,
1569,1569,0,
1581,1581,0,
1583,1585,0,
1585,1586,0,
1586,1588,0,
1587,1589,0,
1588,604,0,
1589,609,0,
1591,1592,0,
1592,NA,0,
1595,1595,0,
1596,1596,0,
1599,1599,0,
1600,NA,0,
1601,1627,0,
1602,1637,0,
1603,1639,0,
1605,1659,1,
1606,1659,1,
1608,1666,0,
1611,1626,0,
1612,1635,0,
1613,1657,1,
1614,1658,1,
1615,1658,1,
1617,1667,0,
1618,1668,0,
1619,1669,0,
1621,1633,0,
1622,1634,0,
1623,1655,0,
1633,1657,1,
1634,1665,0,
1635,1678,0,
1636,1685,0,
1637,1686,0,
1638,1687,1,
1639,1687,1,
1641,1653,0,
1642,1654,1,
1643,1654,1,
1645,1656,0,
1648,NA,0,
1651,1663,1,
1653,1663,1,
1654,1664,0,
1655,1684,0,0
1656,1693,0,
1657,1688,1,
1658,1688,1,
1659,1689,0,
1661,1674,0,
1663,1675,1,
1664,1676,0,
1665,1677,0,
