RD2009,RD2008,NEW BASIC CAR,OLD BASIC CAR
101,101,1A1,1A1
105,105,1A1,1A1
109,109,1A1,1A1
111,111,1A1,1A1
112,112,1A1,1A1
118,118,1A1,1A1
119,119,1A1,1A1
121,121,1A1,1A1
122,122,1A1,1A1
123,123,1A1,1A1
124,124,1A1,1A1
127,127,1A1,1A1
128,128,1A29,1A29
129,129,1A29,1A29
131,131,1A1,1A1
132,132,1A1,1A1
133,133,1A1,1A1
134,134,1A41,1A41
135,135,1A35,1A35
138,138,1A29,1A29
139,139,1A29,1A29
141,141,1A41,1A41
142,142,1A41,1A41
143,143,1A41,1A41
144,144,1A35,1A35
145,145,1A35,1A35
146,146,1A35,1A35
147,147,1A35,1A35
148,148,1A29,1A29
151,151,1A41,1A41
152,152,1A41,1A41
153,153,1A41,1A41
154,154,1A35,1A35
155,155,1A35,1A35
156,156,1A35,1A35
157,157,1A29,1A29
158,158,1A29,1A29
159,159,1A29,1A29
161,161,1A61,1A61
162,162,1A61,1A61
163,163,1A85,1A85
164,164,1A35,1A35
165,165,1A35,1A35
166,166,1A35,1A35
171,171,1A61,1A61
174,174,1A85,1A85
176,176,1A85,1A85
181,181,1A61,1A61
182,182,1A61,1A61
185,185,1A85,1A85
191,191,1A61,1A61
192,192,1A61,1A61
195,195,1A85,1A85
201,211,2A1,2A21
202,212,2A1,2A21
204,213,2A12,2A15
205,214,2A12,2A15
216,215,2A17,2A15
203,216,2A1,2A21
218,217,2A39,2A18
217,218,2A17,2A15
219,219,2A39,2A18
211,221,2A1,2A21
212,222,2A12,2A21
221,223,2A1,2A21
215,224,2A12,2A15
2017,225,20A25,2A42
233,226,2A17,2A31
2026,227,20A25,2A42
251,228,2A45,2A44
2015,231,20A25,2A31
2016,232,20A25,2A42
2019,233,20A39,2A31
231,234,2A12,2A31
235,235,2A17,2A45
236,236,2A56,2A56
237,237,2A39,2A18
238,238,2A39,2A18
239,239,2A39,2A18
2025,241,20A25,2A42
2027,242,20A45,2A51
2029,243,20A39,2A44
241,244,2A45,2A44
245,245,2A45,2A45
246,246,2A56,2A56
248,247,2A69,2A79
247,248,2A56,2A56
249,249,2A69,2A79
2035,251,20A45,2A51
2038,252,20A39,2A51
2036,253,20A45,2A51
2039,254,20A39,2A51
256,256,2A56,2A56
257,257,2A69,2A79
261,264,2A45,2A45
265,266,2A75,2A75
266,267,2A75,2A75
269,269,2A69,2A79
271,274,2A75,2A75
275,275,2A75,2A75
281,276,2A92,2A98
285,277,2A92,2A98
279,279,2A92,2A79
2076,281,20A97,2A91
2079,282,20A97,2A91
2088,283,20A97,2A91
291,284,2A92,2A98
295,286,2A92,2A98
289,289,2A92,2A98
2097,291,20A97,2A91
2099,292,20A97,2A91
292,296,2A92,2A98
299,299,2A92,2A98
301,301,3A1,3A1
303,303,3A1,3A1
305,305,3A31,3A31
307,307,3A31,3A31
308,308,3A19,3A19
309,309,3A19,3A19
311,311,3A1,3A1
312,312,3A1,3A1
313,313,3A15,3A15
314,314,3A15,3A15
315,315,3A15,3A15
316,316,3A15,3A15
317,317,3A15,3A15
318,318,3A19,3A19
319,319,3A19,3A19
321,321,3A1,3A1
325,325,3A19,3A19
326,326,3A15,3A15
327,327,3A19,3A19
328,328,3A19,3A19
329,329,3A19,3A19
331,331,3A31,3A31
332,332,3A31,3A31
333,333,3A31,3A31
334,334,3A31,3A31
335,335,3A31,3A31
336,336,3A31,3A31
337,337,3A15,3A15
338,338,3A57,3A57
341,341,3A41,3A41
343,343,3A41,3A41
351,351,3A31,3A31
353,353,3A31,3A31
354,354,3A55,3A55
355,355,3A55,3A55
356,356,3A55,3A55
357,357,3A57,3A57
358,358,3A57,3A57
359,359,3A57,3A57
361,361,3A41,3A41
362,362,3A63,3A63
363,363,3A63,3A63
373,373,3A73,3A73
374,374,3A73,3A73
375,375,3A55,3A55
376,376,3A55,3A55
377,377,3A57,3A57
378,378,3A57,3A57
379,379,3A57,3A57
391,391,3A41,3A41
392,392,3A73,3A73
393,393,3A73,3A73
394,394,3A73,3A73
395,395,3A99,3A99
396,396,3A99,3A99
397,397,3A99,3A99
398,398,3A99,3A99
399,399,3A99,3A99
401,401,4A3,4A3
402,402,4A3,4A3
403,403,4A3,4A3
404,404,4A3,4A3
405,405,4A3,4A3
406,406,4A3,4A3
407,407,4A3,4A3
408,408,4A9,4A9
409,409,4A9,4A9
411,411,4A3,4A3
412,412,4A3,4A3
413,413,4A3,4A3
414,414,4A3,4A3
415,415,4A15,4A15
416,416,4A15,4A15
417,417,4A15,4A15
418,418,4A9,4A9
421,421,4A15,4A15
422,422,4A15,4A15
423,423,4A15,4A15
424,424,4A15,4A15
426,426,4A9,4A9
427,427,4A9,4A9
428,428,4A9,4A9
429,429,4A9,4A9
437,437,4A59,4A59
438,438,4A9,4A9
439,439,4A9,4A9
441,441,4A15,4A15
442,442,4A15,4A15
443,443,4A15,4A15
445,445,4A15,4A15
448,448,4A59,4A59
449,449,4A59,4A59
451,451,4A71,4A71
452,452,4A71,4A71
453,453,4A53,4A53
454,454,4A53,4A53
455,455,4A53,4A53
456,456,4A59,4A59
457,457,4A53,4A53
459,459,4A59,4A59
461,461,4A71,4A71
462,462,4A71,4A71
