RD1989,RD2005,exact
1400,NA,1
1401,1411;1431;1441,1
1402,1412,1
1403,1413,1
1404,1414,1
1405,1415,1
1406,1416,1
1407,1401,1
1408,1402,1
1409,1403,1
1411,1411;1431;1441,1
1412,1432,1
1413,1433,1
1414,1434,1
1415,1424,1
1416,1425,1
1417,1426,1
1418,1427,1
1419,1428,1
1421,1435,1
1422,1436,1
1423,1437;1438,1
1424,1406,1
1425,1405,1
1426,1407,1
1427,1407,1
1428,1409,1
1429,1408,1
1432,1411;1431;1441,1
1433,1443,1
1434,1444,1
1435,1445,1
1436,1446,1
1438,1449,1
1441,1451,1
1442,1452,1
1443,1454;1463;1455,1
1444,1453,1
1445,1454;1463;1455,1
1446,1456,1
1447,1457,1
1448,1458,1
1449,1459,1
1452,1462;1472,1
1453,1454;1463;1455,1
1455,1454;1463;1455,1
1458,1464,1
1459,1465,1
1463,1473,1
1464,1474,1
1465,1475,1
1466,1466,1
1467,1467,1
1469,1469,1
1476,1476,1
1477,1477,1
1479,1479,1
1481,1471,1
1482,1462;1472,1
1483,1483,1
1484,1484,1
1486,1485;1486,1
1487,1487,1
1488,1496,
1489,1488,1
1491,1491,1
1492,1492,1
1493,1494,1
1494,1485;1486,1
1495,1495,1
1496,1498,1
1497,1489;1497,1
1498,1493,1
1499,1499,1
