RD1995,RD2005,grogger
100,NA,
101,101,
105,105,
109,109,
110,NA,
111,111,
112,112,
119,119,
121,121,
122,122,
123,123,
124,124,
127,127,
128,128,
129,129,
131,131,
132,132,
133,133,
134,134,
135,135,
138,138,
139,139,
141,141,
142,142,
143,143,
144,144,
145,145,
146,146,
147,147,
148,148,
151,151,
152,152,
153,153,
154,154,
155,155,
156,156,
157,157,
158,158,
159,159,
161,161,
162,162,
163,163,
164,164,
165,165,
166,166,
171,171,
174,174,
176,176,
181,181,
182,182,
185,185,
191,191,
192,192,
195,195,
200,NA,
211,211,
212,212,
213,213,
214,214,
215,215,
217,217,
219,219,
221,221,
222,222,
224,224,
231,231,
232,232,
233,233,
234,234,
235,235,
236,236,
237,237,
238,238,
239,239,
241,241,
242,242,
243,243,
244,244,
245,245,
246,246,
247,247,
249,249,
251,251,
252,252,
256,256,
257,257,
261,NA,
262,NA,
264,264,
266,266,
267,267,
269,269,
271,NA,
272,NA,
273,NA,
275,275,
276,276,
279,279,
281,281,
282,282,
286,286,
289,289,
291,291,
292,292,
296,296,
299,299,
300,NA,
301,301,
303,303,
305,305,
307,307,
309,309,
311,311,
312,312,
313,313,
314,314,
315,315,
316,316,
317,317,
318,318,
319,319,
321,321,
326,326,
327,327,
328,328,
329,329,
331,331,
332,332,
333,333,
334,334,
335,335,
336,336,
337,337,
338,338,
341,341,
343,343,
351,351,
353,353,
354,354,
355,355,
356,356,
357,357,
358,358,
359,359,
361,361,
362,362,
363,363,
373,373,
374,374,
375,375,
376,376,
377,377,
378,378,
391,391,
392,392,
393,393,
394,394,
395,395,
397,397,
398,398,
399,399,
600,NA,
604,604,
609,609,
615,615,
621,621,
622,622,
625,625,
626,626,
627,627,
628,628,
629,629,
631,631,
632,632,
635,635,
636,636,
637,637,
638,638,
639,639,
642,642,
643,643,
644,644,
645,645,
646,646,
647,647,
649,649,
665,665,
666,666,
667,667,
668,668,
669,669,
671,671,
672,672,
674,674,
675,NA,
676,676,
677,677,
678,678,
679,679,
691,691,
692,692,
693,693,
694,694,
695,NA,
696,NA,
697,697,
699,699,
700,NA,
701,701,
702,702,
703,703,
704,704,
705,705,
706,706,
707,707,
708,708,
709,709,
711,711,
714,714,
715,715,
716,716,
717,717,
718,718,
719,719,
721,721,
722,722,
723,723,
724,724,
725,725,
726,726,
727,727,
728,728,
729,729,
731,731,
732,732,
733,733,
734,734,
735,735,
736,736,
737,737,
738,738,
739,739,
741,741,
742,742,
743,743,
745,745,
746,746,
747,747,
748,748,
749,749,
754,754,
755,755,
756,756,
757,757,
758,758,
759,759,
761,761,
762,762,
763,763,
764,764,
765,765,
766,766,
767,767,
768,768,
769,769,
771,771,
772,772,
773,773,
774,774,
775,775,
776,776,
777,777,
778,778,
779,779,
781,NA,
782,782,
783,783,
784,784,
785,785,
786,786,
787,787,
788,788,
789,789,
791,NA,
793,NA,
794,NA,
795,NA,
796,NA,
797,NA,
909,1986;1987;1996,1
911,911,1
917,1986;1987;1996,1
918,1997,1
919,1998,1
921,921,1
922,922,1
923,923,1
924,924,1
925,925,1
926,926,1
927,927,1
931,931,1
932,932,1
934,934,1
935,935,1
936,936,1
937,937,1
938,938,1
941,941,1
942,942,1
944,944,1
945,945,1
946,946,1
948,948,1
951,951,1
952,952,1
955,955,1
956,956,1
957,957,1
958,958,1
961,961,1
962,962,1
963,963,1
964,964,1
965,965,1
966,966,1
968,968,1
969,969,1
971,1059,1
972,972,1
973,973,1
974,974,1
975,975,1
976,976,1
977,977,1
978,978,1
979,979,1
983,983,1
984,984,1
986,986,1
988,988,1
989,989,1
995,995,1
998,998,1
999,999,1
1001,1771,1
1002,1781,1
1003,1003,1
1004,1004,1
1005,1005,1
1006,1006,1
1007,1007,1
1008,1008,1
1011,1011,1
1012,1012,1
1013,1013,1
1014,1014,1
1015,1015,1
1016,1016,1
1017,1017,1
1021,1021,1
1022,1022,1
1024,1024,1
1025,1025,1
1026,1026,1
1027,1027,1
1028,1028,1
1032,1032,1
1033,1033,1
1034,1034,1
1035,1035,1
1036,1036,1
1037,1037,1
1038,1038,1
1042,1042,1
1043,1043,1
1044,1044,1
1045,1045,1
1046,1046,1
1047,1047,1
1048,1048,1
1049,1049,1
1051,1051,1
1052,1052,1
1053,1053,1
1054,1054,1
1055,1055,1
1056,1056,1
1057,1057,1
1058,1058,1
1061,1061,1
1062,1062,1
1063,1063,1
1064,1064,1
1065,1065,1
1066,1066,1
1067,1067,1
1068,1068,1
1069,1069,1
1071,1071,1
1072,1072,1
1073,1073,1
1075,1075,1
1076,1076,1
1077,1077,1
1078,1078,1
1079,1079,1
1081,1081,1
1082,1082,1
1083,1083,1
1084,1084,1
1085,1085,1
1086,1086,1
1087,1087,1
1088,1088,1
1089,1089,1
1091,1091,1
1092,1092,1
1093,1093,1
1094,1094,1
1095,1095,1
1096,1096,1
1097,1097,1
1098,1098,1
1099,1099,1
1100,NA,
1101,1101,
1102,1102,
1105,1105,
1109,1109,
1112,1112,
1113,1113,
1115,1115,
1117,1117,
1119,1119,
1122,1122,
1123,1123,
1124,1124,
1125,1125,
1126,1126,
1127,1127,
1128,1128,
1129,1129,
1132,1132,
1133,1133,
1134,1134,
1135,1135,
1136,1136,
1137,1137,
1138,1138,
1139,1139,
1141,1141,
1142,1142,
1143,1143,
1144,1144,
1145,1145,
1146,1146,
1147,1147,
1148,1148,
1149,1149,
1151,1151,
1152,1152,
1153,1153,
1157,1157,
1158,1158,
1159,1159,
1161,1161,
1162,1162,
1171,1171,
1172,1172,
1173,1173,
1174,1174,
1175,1175,
1176,1176,
1177,1177,
1179,1179,
1181,1181,
1184,1184,
1185,1185,
1186,1186,
1189,1189,
1194,NA,
1195,1195,
1199,1199,
1200,NA,
1201,NA,
1203,1203,
1204,1204,
1205,1205,
1208,1208,
1209,1209,
1211,1211,
1213,1213,
1215,1215,
1218,1218,
1219,1219,
1231,1231,
1232,1232,
1233,1233,
1235,1235,
1239,1239,
1241,1241,
1242,1242,
1243,1243,
1245,1245,
1248,1248,
1249,1249,
1251,1251,
1252,1252,
1253,1253,
1255,1255,
1256,1256,
1258,1258,
1259,1259,
1263,1263,
1265,1265,
1266,1266,
1268,1268,
1269,1269,
1273,1273,
1283,1283,
1293,1293,
1501,1501,1
1502,1502,1
1503,1503,1
1504,1504,1
1505,1505,1
1506,1506,1
1507,1507,1
1508,1508,1
1509,1509,1
1511,1511,1
1512,1512,1
1513,1513,1
1514,1514,1
1515,1515,1
1516,1516,1
1518,1518,1
1519,1519,1
1521,1521,1
1522,1522,1
1523,1523,1
1524,1524,1
1526,1526,1
1527,1527,1
1528,1528,1
1529,1529,1
1531,1531,1
1532,1532,1
1533,1533,1
1534,1534,1
1537,1537,1
1538,1538,1
1539,1539,1
1542,1542,1
1543,1543,1
1544,1544,1
1545,1545,1
1546,1546,1
1547,1547,1
1549,1549,1
1553,1553,1
1555,1555,1
1557,1557,1
1558,1558,1
1559,1559,1
1562,1562,1
1565,1565,1
1566,1566,1
1567,1567,1
1568,1568,1
1569,1569,1
1581,1581,1
1585,1585,1
1586,1586,1
1588,1588,1
1589,1589,1
1592,1592,1
1595,1595,1
1596,1596,1
1599,1599,1
1789,901,1
