RD1991,RD1992,Weird?
102,109,
105,105,
106,111,*
107,119,
111,121,*
112,121,
114,112,*
118,122,
122,131,
124,132,
125,123,
125,133,
127,124,
128,127,
128,128,
129,129,
131,141,
132,142,
133,134,
136,135,
138,138,
139,139,
141,151,
143,143,
144,144,
145,145,
146,146,
147,147,
148,148,*
152,152,
153,153,
154,154,
157,157,
158,158,*
159,159,
164,164,
171,161,
172,162,
174,163,
176,174,
177,176,
181,171,
182,181,
184,182,
185,185,
192,191,
194,192,
195,195,
,,
221,211,
231,221,
241,231,
242,232,
251,241,
252,242,
261,251,
261,261,
271,271,
281,281,
291,291,
222,212,
232,222,
243,233,
253,243,
262,252,
262,262,
272,272,*
272,273,
282,282,
292,292,
223,213,
234,214,
234,224,
235,215,
236,217,
238,219,
244,234,
245,235,
246,236,
247,237,
248,238,
249,239,
254,244,
255,245,
256,246,
256,256,*
258,247,
258,257,
259,249,
266,264,
266,266,
266,267,
269,269,
275,275,*
279,279,
276,276,
289,289,
286,286,
299,299,
296,296,
,,
311,311,
312,312,
313,313,
331,331,
332,332,
333,333,
334,334,
351,351,
353,353,
373,373,
361,361,
362,362,
363,363,
391,391,
393,393,
314,314,
335,335,
354,354,
374,374,
394,394,
315,315,
336,336,
355,355,
375,375,
395,395,
316,316,
317,317,
318,318,
326,326,
327,327,
337,337,
338,338,
356,356,
357,357,
358,358,
376,376,
377,377,
378,378,
397,397,
398,398,
309,309,
319,319,
329,329,
359,359,
399,399,
328,328,
