RD2005,RD2008,RD2007,RD2006,RD2004,RD2003,RD2002,RD2001,RD2000,RD1999,RD1998,RD1997,RD1996,RD1995,RD1994,RD1993,RD1992,RD1991,RD1990,RD1989,RD1988
101,101,101,101,101,101,101,101,101,101,101,101,101,101,1194,1194,1194,1197,1197,1197,1197
105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105
109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,102,102,102,102
111;112;121,111;112;121,111;112;121,111;112;121,111;112;121,111;112;121,111;112;121,111;112;121,111;112;121,111;112;121,111;112;121,111;112;121,111;112;121,111;112;121,111;112;121,111;112;121,111;112;121,106;111;112;114,106;111;112;114,106;111;112;114,106;111;112;114
119,118;119,118;119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,107,107,107,107
122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,118,118,118,118
123;133,123;133,123;133,123;133,123;133,123;133,123;133,123;133,123;133,123;133,123;133,123;133,123;133,123;133,123;133,123;133,123;133,125,125,125,125
124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,127,127,127,127
127;128,127;128,127;128,127;128,127;128,127;128,127;128,127;128,127;128,127;128,127;128,127;128,127;128,127;128,127;128,127;128,127;128,128,128,128,128
129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129
131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,122,122,122,122
132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,124,124,124,124
134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,133,133,133,133
135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,136,136,136,136
138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138
139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139
141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,131,131,131,131
142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,132,132,132,132
143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143
144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144
145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145
146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146
147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147
148;158,148;158,148;158,148;158,148;158,148;158,148;158,148;158,148;158,148;158,148;158,148;158,148;158,148;158,148;158,148;158,148;158,148;158,148;158,148;158,148;158
151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,141,141,141,141
152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152
153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153
154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154
155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155
156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156
157,157,157,157,157,157,157,157,157,157,157,157,157,157,157,157,157,157,157,157,157
159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159
161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,171,171,171,171
162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,172,172,172,172
163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,174,174,174,174
164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164
165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165
166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166
